ASN_config_office_bfnd	ASN_config_office_find
Timeout	7529
4210	59252
7849	3938
2088	25340
4531	91566
3698	1724
2141	30360
1758	6365
4567	33636
15103	7086
22789	3715
1938	19885
2785	17085
9264	61895
2547	46476
5068	5947
4462	15213
3374	129526
2679	56612
2737	7623
2315	6942
2953	50090
19043	3588706
6479	21135
11901	1426195
11118	24304
4667	1437031
3359	20444
4229	71053
4188	108416
Timeout	23173
5021	1462942
4858	18773
10081	4776
5485	3021
2638	1578
3356	15697
4309	828
2854	137377
Timeout	735418
2379	3610
Timeout	3234
1392	11378
2256	Timeout
3755	7580
2047	26428
4470	1489124
4339	1482631
81170	4332
1815	97729
Timeout	29843
19572	4496
8613	71470
Timeout	5748
5875	3998
5452	15506
3605	66373
15253	10443
1413	8780
10054	10106
1990	24915
4295	8670
1845	5561
2256	29014
Timeout	3805
6306	26771
4761	209361
9258	1443941
6133	4703
9634	1442784
1920	3169
3420	5192
4923	1489892
3214	2772
7830	1582
Timeout	720993
2257	11031
1910	53320
3109	3026
2820	94827
7652	2760
Timeout	2621
3799	2781
10677	1442989
4660857	5097
1888	17679
2727129	3164
3637	10689
4225	11675
74203	124964
2132	179928
5095	9120
4248	3641172
Timeout	54571
18096	1474322
2341	68230
5905	21674
355125	27964
3509	5314
26363	33577
1830	22305
6329	8133
Timeout	1670
8448	15574
3266	3607642
920427	22636
5194	100595
6574	1431959
22564	1439780
4277	3740
5643	1469156
Timeout	1801902
9480	39081
2411	36123
2236	1086
23291	2669
Timeout	53499
Timeout	15806
1913	617
4783	1477101
8121	14225
2318	74066
5331	48693
2339	12311
3765	4099
4717	38684
38707	4402
30318	16150
2269	1844
2760	22684
5907	10386
1625	10651
8268	14935
3906	1481645
3943	2424
1413	9658
12900	2039
4933	11880
8263	2478544
731020	2872569
1642	1495499
5819	1451999
Timeout	18707
8669	1436423
4723	168029
2768	10499
11660	1459724
3853628	6070
12813	299880
4177	5121
4095	22491
12285	991738
14241	8798
Timeout	737504
6606	5358
29867	1452926
1866	640748
1405	1430567
2879	47472
Timeout	6368
Timeout	56272
9384	15574
4024	1384
8925	5368
2231	1472294
4108	13227
8199	64621
2401	10980
2061	9889
2175	1459246
3538	4995
10249	1084784
4363	4943
2497	1441874
17617	2390
2740	21070
5314	3653081
2143	44310
2222	3493884
6856	18210
9343	13495
3155	1468125
4066	33114
1863	107785
7599	48194
7520	3196
Timeout	7650
6809	46669
4183	46316
3722612	917888
4647	1447424
4581533	734618
Timeout	6526
10897	45706
11045	9625
2661	90452
1454	9790
2041	2144166
1165039	740
13899	29133
12041	12478
31775	1421746
Timeout	1835
4271	10847
Timeout	74526
4432	1930
9497	32484
25496	29773
2522	81177
5654	35264
2376	26646
4848	2307
3776025	11543
8555	1450140
6548	40275
Timeout	116298
4375	8314
1641	3206
2334	4393
2828	1511788
3248	1891
15598	53397
276111	63938
10138	19343
3151	3680372
3223	1927
Timeout	1803004
1241979	726274
2686	78067
Timeout	1086
2137	10162
4390	14865
6247	2178
6053	52643
2787	7894
1675	14156
4642	12273
5269	123145
14117	9765
2138	5217
1895	38787
3953533	20160
2246	9508
8465	832283
6005	1477957
4384	323547
5203	13327
11538	11831
4117	2967
2492	1491
2860	39362
11154	11155
5031	4831
17393	12495
4211	10643
16840	75543
4069	90988
5849	8308
6095	19752
4250	22893
1792	101361
2180	Timeout
7289	1062089
6707	49972
5731	29317
Timeout	9123
4160	3441286
10322	22279
571720	37358
7515	13982
3305037	717099
3552	17497
6782	20808
4488	35008
1074678	9464
11827	50352
4506	135314
10636	22617
4162	3812
3848	1577
3995	6930
3711	3524675
3482621	793302
7567	1446502
3858	3344
4759	26383
5186	97481
2067	77585
5525	1817
4231	1466504
6564	4427
2070	1443115
6619	6187
26634	4460
3825	10296
3324	6810
685344	5680
Timeout	6378
4825	1439434
1893	6869
10539	2511
Timeout	12187
8601	30647
Timeout	164376
8395	34274
Timeout	23793
2668	27767
3838	14728
11039	8162
3806	6811
6196	40949
Timeout	5658
4225	15800
4575	14679
3522	2169
3741	3620733
Timeout	3350
8935	85117
3505	19090
2359	4019
9436	114667
5697	32913
4098	15771
Timeout	11651
9899	26578
3152	76719
9427	50159
3342	6687
Timeout	15615
2904	1157
2116	66885
5911	2620
3866	19642
3713	1434039
5958	20652
7271	44712
253183	1817
4228	51020
5928	3600782
1979	11775
4770	1486382
Timeout	38436
4703	44718
3484	52318
6423	37936
4123	31181
1007540	31379
4037	3648922
40005	13142
13688	5544
Timeout	6385
Timeout	8538
Timeout	11599
2201	58424
4184	77588
2459	166351
2389	5430
3567	11898
3826	7957
7211	40833
4394101	104666
4526	50372
8145	15478
3581	32936
10632	6274
2232314	20798
2487	57090
8711	28235
6358	3631525
2325497	9489
2261	15572
Timeout	753501
2365	2366
Timeout	1169
339755	28554
Timeout	733140
1786	62065
Timeout	1661
Timeout	731985
1850820	30020
2656	12470
12710	1817
3146	5329
2095	1439305
11424	1351
4895	16498
8028	1501210
84886	254460
3689	9988
3618884	3414
4539	27808
4675	122911
4286	27429
6613	50497
3602	12744
4145	28223
3178	3598260
9206	31624
2719	5104
3704	125500
6489	58610
7149	1429
3873	34100
4778	4685
6633	7316
3176	33187
11101	98316
3481	7662
2966	5183
5251	23407
3654	2541
5168	12833
5976	106676
2237	212262
3615	5684
Timeout	719147
Timeout	50606
1553	1494
6125	1821
2626	6380
5693	1974
2513050	33611
3237	4733
1997	107465
19848	8598
4610	2511
1626	1438615
2884	20883
4384	1435780
5013	76414
2402	21295
3704	1490282
4604	616
5654	24959
917335	29449
2563	1198
2130031	31838
3560	3579448
Timeout	7521
2521	12722
2275	31046
Timeout	18072
3887	3741
23551	827
2206	43039
2161	18283
137134	3616
5821	6521
7085	1459434
2114	Timeout
8405	22023
1913	1456967
3041	1898882
5284	4722
21900	21118
3071	11051
Timeout	10335
2359	9729
Timeout	736557
10674	14195
10745	1467603
4373	12672
3911	Timeout
1751	1440496
4895	9830
5566	14019
3738	3502
3131	60570
1925	27592
11786	20106
1945	1461535
5075	16228
1994	71881
1955	15174
2834	67172
12715	1418444
2029	9192
10756	99143
3183	10440
13719	33889
6292	1446250
2090	18804
8058	10989
3000	64589
3646	386
3597	29801
3846	3640267
4657	2512
10933	3377377
1421	5389
16447	616
1892017	47656
10594	85936
296954	29748
380690	15261
2021	8361
Timeout	2045
9321	60490
5241	4530
3643	1149087
5917	87917
2749	185953
879411	388900
1508	1434902
11812	29960
Timeout	7007
Timeout	529
7879	30459
597919	37557
13315	210729
4100	3262
6713	8024
14360	20642
1201721	9408
1537	1552
3425	5554
11338	1437914
15889	1489840
1007812	716757
12790	113229
5424	23606
7417	40123
8696	19402
1869	1441878
1537	1552
2080	2739
4386	2887
4100	3262
1718	5510
3425	5554
7899	2008
2074	2541
6713	8024
3088	12910
2741	5773
2475	13108
5424	23606
8696	19402
14360	16653
2842	12668
4701	19638
4752	18769
5460	10719
4537	1347
9335	15412
2527	27325
1957	13825
7417	40123
6517	10217
3316	46594
18792	2588
3047	36727
2947	37897
1644	30315
3739	11134
7291	33056
1867	62035
17935	3021
5392	19697
2712	1581
8628	76840
4071	80869
12790	113229
2157	62805
2204	7582
6629	129023
5901	3493
2133	39619
2477	10461
1818	6506
7542	53594
6387	7792
13918	127263
7103	9442
4278	5332
8849	5470
3036	623
6691	127570
6771	38648
3252	4953
2704	9041
9634	132535
5394	41702
1984	145974
8418	14862
3867	8514
7513	15681
2704	46549
10507	8402
2991	58037
4177	75736
7472	15694
2711	3263
5837	13218
9625	30529
4182	22496
3332	150292
1630	2569
6348	8529
6728	16086
6064	19172
3512	31988
11485	7119
5685	14764
8777	30530
6228	10982
4342	2620
11913	53919
8039	37632
7340	20815
3666	4387
2258	13352
12597	3744
3747	9894
3958	6150
2292	13885
2758	19682
7285	33468
6969	5662
4715	5585
3666	4724
4828	10960
7963	44192
7378	45292
5324	79326
4631	54381
2150	158066
15139	18345
2389	18785
25193	11372
1643	51000
4088	85832
12381	58358
3655	95525
