ASN_config_office_bfnd	ASN_config_office_find
2066	2307
4517	10857
6453	7001
10298	2770
3637	12701
2775	17512
11223	8274
5027	17332
2121	1156
2349	7321
9344	21346
2459	7801
3541	8179
1904	31613
3649	8083
4865	5163
2037	4236
6669	3167
19826	3382
2787	38356
2270	27184
3183	6862
2168	22656
6176	84708
4347	20225
3211	28884
5798	23281
2118	10871
3259	6704
5417	25022
8952	3666
11303	11367
3050	3545
2855	11154
5102	13299
4430	4594
2750	12631
5672	4222
6272	4710
5140	19269
4889	12168
2717	15410
156564	1665
5628	80235
3374	43565
2251	2100
11209	2622
2982	217111
4184	26175
5348	6611
5686	3501
8867	105074
2482	161340
3244	165987
8073	6908
4202	26180
4150	236179
4748	1431106
5732	1442610
9046	39798
3729	1458412
2707	1139621
1871	1433840
2915	2321
2838	5760
2953	5660
2397	1462561
2064	53369
4135	76075
3225	1574950
1686	6722
5039	23784
2066	859
2242	3855
7650	5658
2864	1829
4439	11111
6559	391793
1651	8217
2039642	9093
7375	14238
2536	1444860
3475	20813
2475	1824250
3337	9444
1899	2070
5527	9755
1875	34276
6073	4536
3462	30080
6802	182692
3417	1458082
5481	3595042
4092	1576
22972	33168
3041	1495840
2124	249704
1677	10544
674321	14961
Timeout	2519
Timeout	34492
5203	7770
13590	4806
Timeout	20791
3766	11717
5866	3169
6036	10112
Timeout	61413
Timeout	18519
2104	2068
2010	2425
2636	34229
159295	9140
6614	5170
1955	54361
256139	48116
Timeout	28917
4629	52491
2987	Timeout
1611	13693
13823	13363
9256	5045
Timeout	77980
6937	45267
5647	5728
4437	48891
21694	8276
3349	19694
2840	45166
2124	7135
7042	4220
5971	19151
1947	150361
2998	24630
5637	8172
Timeout	10386
63344	7693
10567	30752
2918	3091
2872	21820
2189	1496
3320	1577
11552	4911
21192	7295
6948	1381
Timeout	6676
12443	14819
2768	4940
8204	19395
4584	31669
10693	1420452
21347	9076
8303	6985
6692	36014
2932	3349
3775	5185
3497	5712
2056	32843
Timeout	151230
2051	64996
2565	1444567
1856	28636
2438	5391
2041	20400
99300	5369
5282	80016
2210669	48669
14173	16336
2963	11979
11989	5812
5290	4916
5898	1491
3937	77463
9259	1484819
26703	87087
Timeout	34395
5426	1455228
4182	3605202
2156	18540
1815547	9892
4444	8278
4298	8125
10637	28713
2363	88032
10248	16636
3616	53857
4304	24905
81688	616
Timeout	14543
1894	81194
1391	1579
2158	37627
2860	7949
3890	3025
3300	1204
4233	7673
6119	1446799
3603	17180
3265	27489
5667	3216
1914	4983
22160	5672
2202	3452115
11187	27766
4217	1461971
2288	45537
437188	18164
2327	1591574
983	21147
1679	1376
1848	53661
2975	14974
3862	4232
3608	14415
3842	619
4726	12185
1955	6420
14021	20990
7947	4713
1630	1467782
2513	4784
2059	14592
1922	1429563
361711	3021834
1878	25097
2913	22500
5499	853
3679	69952
6788	15077
7824	69054
28687	4826
4428	98319
66520	1393191
5621	17508
4641	1334
4478	1454197
9780	10651
8273	5046
6716	36996
7304	1430665
7560	1422310
4544	7621
15126	4693
6404	22471
6257	29209
2155	1445173
10370	17882
4838	67519
4077	11500
5597	7664
7671	1433022
Timeout	1430
2444	41751
Timeout	40349
Timeout	226570
6129	1436245
13802	28776
2490	46634
9023	102600
11011	83093
4146	1776
3605	1930
2842	113538
9516	1998
2008	33419
1882	3356
62323	3741
4202	67371
1466	8892
2925	1409251
4490	3748
Timeout	19722
10542	11609
1479	32512
4737	2966
3303	37087
4463	27692
1861	1439215
2008444	46069
1682	Timeout
6577	10796
4423	27874
2963	36857
6456	5217
2309	38747
12281	49902
Timeout	26660
9251	5041
2563	1429171
2134	4719
7595	48591
3492	281796
5853	1513688
7074	1520576
6845	3385
3159	32837
3551	3023
8038	6908
4425	27597
2337	35387
522050	8767
1801	25773
6035	67692
3915	10552
2560	2516
3963	6081
12417	2371
5321	3855
3378	123642
2150	1443639
3561	29311
422134	3164
2133	5195
2244	56116
5359	3418151
2393	34168
2353	Timeout
4396	41730
1677	829
12063	7858
5649	24267
2306	9405
9120	121644
Timeout	19841
3317	26134
21548	3548
4960	16409
5093	1831
7586	11001
2231	4498
3481	65060
4609	14935
1061945	47407
11093	6155
Timeout	735791
3762	58771
1870	70608
17348	25114
2127379	743350
11870	116491
6790	1828
4824	8687
Timeout	6568
3279	77498
10293	170222
9159	2046
Timeout	3500
3754	53808
3354	109980
25120	2837
5175	18407
20322	4213
1163040	15344
2293	88726
1625	2978
20755	86274
10457	1451469
5561	10633
8364	57466
11329	28226
3654	20810
2240	6145
2560082	17816
4012	1083296
2540	296737
9763	3382
