ASN_config_office_bfnd	ASN_config_office_find
3825	24220
19354	17682
3890	43246
10733	37852
16565	34734
9445	43170
13172	38503
4183	58834
24483	30855
10868	63707
8152	14575
6652	19198
16436	83352
12015	44661
4587	23977
14087	31023
13178	100038
14703	35201
5315	49291
22768	89093
10959	111236
21492	52334
4507	15198
6434	69460
8336	11431
4775	19600
6530	65378
9431	55084
10121	29060
4278	27213
8817	4220
8284	42323
11213	130646
7976	47134
7667	67884
4681	40063
5947	56431
15459	190562
5532	37188
10720	85415
5262	51974
4283	130111
8914	59122
12237	65869
25834	62873
11761	26690
12098	64420
3672	25069
2859	15144
17373	41613
11186	157734
2899	21768
6685	23157
5988	47881
15979	97547
6939	36794
9209	67734
9566	14252
10504	115987
9701	116363
8245	123451
2208	71272
7880	5510
7855	158928
7966	58460
10202	90980
8686	8917
16832	48754
5910	151407
6236	89008
9191	23706
7613	38162
8826	33495
5077	136060
8823	46903
3457	103177
10976	52774
2886	81686
8784	98130
6478	78022
16978	11173
6894	16404
6595	16141
5525	51687
10165	13873
11220	44739
3934	40706
7167	50289
8928	49967
6539	70911
7985	55861
5504	20681
9387	62187
8456	12013
6121	19190
15817	11047
9012	17316
10018	14799
3838	92728
6161	46112
6357	22311
5293	50937
13613	51617
7289	27681
10377	43915
17931	25766
10202	44805
3723	2979
6671	43971
4154	78054
15237	124940
5320	13676
15101	120534
8925	36427
7120	117919
12660	64114
9302	193696
8569	31753
4739	78792
8917	16664
9409	68598
11206	24736
3692	75487
14328	37261
9845	13081
8955	82987
2418	14099
7252	30223
22442	96208
9552	45038
8184	64119
15794	37663
5992	36384
11614	134314
6022	23062
8582	18946
8824	60851
7220	44958
12107	40890
5220	73687
8311	47018
9647	35805
11560	266989
18792	95959
5063	73619
4069	15539
9875	6451
16720	23379
6045	88473
12526	100505
10455	120877
9065	37152
3522	53510
11931	24397
6964	59365
5350	41544
13099	20926
14700	168287
5139	152159
8158	91650
5708	89505
16559	29673
8210	35312
5871	33477
6235	50114
9356	147129
8687	11810
6883	28379
18090	104045
9231	31812
13372	23199
5762	61347
6726	10849
4137	15264
3198	12666
11105	38279
12827	9173
12127	66949
6259	270777
5148	27704
8125	42481
13175	7840
3726	13378
4608	9341
5864	121829
15852	83153
11522	10182
7588	96993
11928	49422
6112	5192
9122	31906
6551	193115
3373	7090
8505	25425
3202	56739
25917	84420
7918	85649
4973	126742
5294	323631
15313	15878
5523	60628
7937	6132
7050	31694
8388	45251
4729	43709
8191	42320
10768	11581
8296	31231
2148	44877
3740	88764
7496	20731
12483	26726
5357	10448
13232	35540
4469	32926
4420	26823
9623	89409
9827	58272
8306	188924
21798	13832
8375	20739
8664	25372
4797	46715
2583	77112
18225	90080
10567	65876
7036	37473
10319	149401
10473	159070
11786	30136
7541	340129
5251	25259
11903	86967
16391	70026
9236	71250
9704	27070
5816	182481
12642	20969
5768	25920
12187	68960
6654	24262
7647	114543
7061	14990
18107	231124
4949	84853
11567	46422
10189	67204
11440	33820
5511	70133
7684	60426
4188	47633
6978	35942
4791	78196
8962	86428
4310	65085
5591	59692
9336	45564
3549	13345
8283	80696
4141	15627
11293	32864
13390	20634
9491	33329
3097	53287
4339	24510
6121	64902
