ASN_config_office_bfnd	ASN_config_office_find
12778	77895
3898	40709
12324	26541
2218	93217
19467	179739
9662	106499
13686	25837
25179	24898
10013	88316
4103	50100
17682	90450
11112	20755
5721	56377
5342	18970
12054	29226
9272	35957
11926	23666
16493	147270
6253	24770
4012	57069
4439	67589
9005	45808
12945	29826
10320	50080
6157	221726
6753	54629
8569	70299
11190	54170
18301	97376
8039	22999
12141	44029
13234	116590
8432	18250
13619	75299
10908	62501
8269	38104
11148	46596
13948	125603
12280	14516
6084	66958
5036	135608
6104	58939
10947	129669
17770	65195
7015	35047
6593	34513
6086	59679
21920	60727
11147	122881
3044	336199
8452	29359
15016	41018
7713	74025
7464	74318
8636	121487
6043	37691
3739	39617
26088	19299
6440	60124
10611	44441
11533	83133
13361	18192
7505	21629
7840	65754
8137	187154
10638	98154
5592	85558
8934	31950
7489	588238
6841	146402
16874	61525
18239	138700
6484	34864
4467	72644
13566	151558
3387	19338
7154	116965
9188	72430
13062	20219
6695	25752
6691	91764
6615	61360
8803	140262
10565	54822
6676	68559
6371	36028
11131	52806
6524	42392
10119	96002
14019	61008
7733	49227
8765	127796
4731	39601
7963	37429
9121	104754
5593	40612
7853	21037
4189	133881
8478	105062
7581	57148
9543	94948
6092	24617
12078	64427
8701	61220
8911	13645
9912	55922
7131	44597
6413	13897
12462	32790
8869	135572
9356	29031
6656	12587
9107	17021
15594	69880
5687	100649
10906	50611
5220	224864
12250	42731
7429	164909
4078	200678
6567	120745
5722	72832
11527	98608
16584	35335
13343	24970
5426	16133
3082	30240
8812	17478
12617	89891
8207	77857
7707	42839
16784	17288
10583	55721
9210	87281
8221	49510
16114	139657
5562	57446
3292	80475
8600	132265
6030	36335
9941	46190
8042	49567
3858	151634
18075	40724
8504	25136
13119	38589
11169	26367
21760	40420
6590	13927
23103	186269
9422	32920
5132	101350
11088	91139
7478	73675
8131	55972
11913	34155
10604	120228
7650	11138
11428	91426
9615	13286
7491	97646
6279	62409
6903	24171
4957	112583
5838	43144
8698	76175
17996	20963
8787	64263
7800	54575
7137	61398
9907	171789
4443	120507
7349	28715
8535	33900
11717	95664
5567	63378
8096	107726
4888	11239
6873	35982
5958	17686
7592	35346
8374	132372
7746	110954
5828	11506
12113	54209
12281	162071
9897	124579
11167	121049
7726	23914
11824	124388
7153	34760
12148	124248
10741	46109
7058	57714
16799	58951
6811	48412
18736	75869
8870	67410
8435	62077
6617	7384
9064	39485
6769	123448
18042	143712
14714	207498
7991	117569
8708	151537
8787	58347
7877	42022
4355	182271
8273	155803
10480	43554
6060	57180
6924	49520
14344	62974
6642	36912
7958	38687
10736	360256
6277	10976
9303	23322
6676	76784
9107	41110
5240	169769
6312	29749
9793	107349
13040	24620
8704	92231
8451	81043
6087	44324
12906	19297
8017	13887
14005	15142
11840	50447
4903	43556
16049	72462
12186	84735
21313	125345
7969	54525
10785	34470
14440	57794
5374	114768
7730	31103
26976	41980
13822	128370
13486	43738
7517	41246
9584	59794
13744	15022
10308	45102
28440	92980
8952	34382
8504	158770
5190	105966
13555	48866
11939	98965
6234	20940
6615	86698
9606	47376
10412	72091
8669	59393
7266	26611
8568	87486
6965	29289
9415	95962
10200	77136
13027	118384
10039	34132
8327	55049
21309	57195
12149	26515
6872	53492
10195	153478
2767	30996
2659	112035
6450	94820
21571	114271
17509	30879
15712	159261
8579	224314
15232	46703
21905	17991
8940	52295
8624	164911
10431	41621
14353	196141
6405	65853
7877	81400
24550	109759
12360	69189
16485	15771
8069	45844
7238	60539
6725	123219
7941	11883
11004	47102
11802	166725
6065	227608
7203	70815
7785	32221
5163	54691
18473	34848
12703	62169
12356	46173
8527	99461
14254	28609
7373	69061
5168	16703
6570	51488
6665	42625
4666	54531
9776	62773
11412	127990
8430	24928
12413	6661
6684	91829
15273	55928
5075	39735
31652	114173
5177	82719
5320	85699
10184	120797
12660	122679
6489	152841
10188	24810
8114	20211
12024	12939
18237	329915
4254	355888
5634	25099
11061	176060
10114	29971
5858	11089
12972	37413
6477	209384
9426	26748
8666	33761
27358	276645
4173	40194
8556	76661
9240	9703
16804	13515
7298	47204
3530	51973
14452	39285
10280	23403
4784	26036
18465	35553
11145	11096
3597	370922
14119	47753
8632	148906
13535	67324
13589	83829
11295	41211
10421	45545
6350	90189
12490	19867
9924	169247
16452	52612
12603	43890
6499	35310
8265	119158
13960	243886
8389	63170
6248	85691
6854	95817
9595	46860
13960	36115
6652	41668
13475	30508
7138	45101
11853	47476
17796	340818
7695	50911
7754	23393
10603	430045
3486	38292
9459	100104
14180	48319
4580	38578
13920	24998
8851	55284
13551	56167
11019	69026
4747	109526
4868	159976
8159	30111
10088	85543
9365	134691
4994	103230
17238	34675
3371	210589
23347	50420
12521	35227
22542	164096
33382	12644
10174	207126
5570	9366
2654	161405
8725	125049
7128	18169
18116	23505
5590	14485
13499	74816
3523	20876
13301	60012
8619	124089
7268	31410
15964	17062
13180	42743
16703	30132
14295	62981
12416	118713
13691	56769
8691	55771
12813	63423
5042	53399
4004	97268
3828	153026
4333	41448
10351	66770
4814	175164
5428	24330
7259	38693
6436	109228
5297	46288
4152	49922
13864	82045
10388	36750
12159	86163
6706	51828
10193	56044
7964	64792
3861	38082
10412	54394
17004	18303
15336	16326
8420	41510
5231	76987
8193	102390
10896	64246
8724	54815
4149	49739
8991	41203
15805	63335
16561	59679
9329	23654
6261	28646
13747	15802
4476	45686
10266	53122
11150	15087
9901	266459
13950	36193
9383	70814
16184	185294
7525	65367
14390	156319
3800	8906
10867	71374
7354	66197
7450	77385
11987	24222
16670	39413
7424	137821
6329	9510
6698	15035
5385	54890
6780	30417
9155	77892
10734	35951
15614	149689
11241	63671
6358	56336
10070	52152
13530	28117
6726	31359
15737	211793
9609	22245
9436	196565
6684	20450
5659	124591
5648	19510
7962	89659
8010	43437
5411	104180
19216	20112
6761	24527
8892	75575
22300	36881
6574	103619
9903	44884
11559	63562
12921	9192
6508	71061
6697	16142
10324	107901
7105	41107
5733	27518
8084	98719
15651	49083
10931	83804
7682	54519
7554	32954
10970	49050
6943	78426
7109	33987
8285	88604
12430	113247
10986	59333
32852	41815
7787	82331
5442	166207
4291	59530
8514	27444
10768	68828
7068	7754
14838	243439
5312	173861
17659	70620
4286	90045
7184	49942
24649	194190
11468	56677
13023	228495
6779	20463
10384	55064
6050	45427
7143	70767
3812	142833
11996	139960
14316	54402
8281	111006
9370	48916
7303	182259
7980	61032
9350	87959
5575	67592
8224	53197
9525	56879
14579	62908
22527	38665
13217	57289
6069	29419
6574	17589
10978	140882
9880	200645
8837	193711
4290	64090
8401	16475
8792	16733
7200	196185
11972	33141
6360	31660
15736	54603
14337	68008
4479	38254
4176	23807
4756	47179
13909	18591
18117	106899
10506	122953
16040	40703
4593	83877
6807	26597
11507	61610
15035	52255
9534	71782
4590	31719
10855	67498
10561	291922
5947	16349
10939	41819
9537	67321
9420	28668
10487	72835
15287	45290
12849	117480
15473	17192
5378	138071
6240	48434
12949	65175
6680	111474
16988	93013
18754	34022
7199	54932
7780	81727
10263	33421
10464	51465
14714	70352
11829	30466
8399	194239
4296	28520
6914	10729
7844	123526
4727	371265
7849	49862
17024	43236
10429	34318
4274	133698
8782	145173
10674	111636
7362	12513
16380	70139
7093	43554
6167	87260
5517	29842
12005	48205
6009	30507
16913	25539
4471	97791
7356	69336
12583	29926
9400	27934
12111	14751
3270	102197
6835	76156
9325	66317
6719	86813
11967	31125
10813	87839
12431	33848
10611	116869
20377	59693
7216	41669
21786	89506
17828	38547
5624	7333
18813	61834
9024	48561
40850	85173
13580	41872
7754	141421
17887	55344
11757	48848
6271	88727
3929	55410
11538	40696
5389	35340
6133	45064
8847	62042
3438	55247
4954	114763
6149	64983
8765	44534
28629	82783
8400	52047
10814	41222
5651	120205
4518	18918
8392	187944
11701	70880
27532	17708
4048	16689
5698	8403
5110	34288
7064	20596
19877	71313
13542	29088
18199	25540
9587	21567
14247	42018
5351	155100
9507	16626
5731	43887
12620	53180
8339	74524
7298	27283
6827	88313
11430	216900
10792	215400
4558	18828
13937	15647
12359	56095
31545	127456
11669	32374
7945	37900
11083	34828
22373	107855
12420	31226
8232	56092
9096	78426
16389	24102
7712	48347
13556	34440
8306	51316
5056	17050
8712	182808
12028	14140
6861	231673
13406	42480
14094	20509
6828	103231
8627	336758
8405	200702
14830	115867
5550	102012
21802	37035
14185	88934
15401	58330
5819	70284
7662	31963
6520	154644
7230	170330
5028	70978
3787	73754
10169	288867
5550	51858
4786	27304
7970	52348
9801	137388
9102	91538
11163	58553
12418	66010
6083	223772
6365	84764
4862	31867
6157	90569
6153	93073
10543	75528
9601	39396
7165	43256
22106	41037
6055	26480
11882	43912
12682	10306
12471	29625
6481	35040
7855	134280
8573	100405
11178	46133
12258	58012
3824	29696
5407	71558
12602	41598
19259	147666
10753	212060
9444	160705
6825	60012
13762	72877
11457	36452
9439	47752
11365	19987
4910	52948
2574	50310
7885	54689
10581	83332
5520	57733
7125	39698
10190	37542
10545	166345
7103	102239
9483	69758
4887	34880
10515	47080
14219	116230
9508	155646
14652	49978
18517	148919
5313	317429
6975	92164
7462	78592
10333	98096
15809	35871
7585	43662
14486	88374
12650	118923
6121	75084
7120	134301
9777	34938
9237	133474
7989	96433
13141	146623
10678	247554
9659	30641
5277	55128
3493	53217
14213	10739
10308	82081
7879	83123
12007	27944
10028	27499
15781	151163
17171	119258
6655	46185
9510	15583
4381	74781
13249	26228
12575	77881
10247	228438
13243	73660
11149	124205
17984	18061
16371	35678
8094	64786
13128	65342
16107	80842
23850	43347
10468	64454
13878	33151
7737	48105
11809	26050
10562	387791
15062	79687
17318	47144
21418	13722
9045	53932
8296	108046
4713	47948
7899	57200
12943	40521
10208	19306
7840	58311
6554	34951
7110	83548
4337	66634
17182	108825
10712	78429
6926	116067
25160	135477
7980	121193
