ASN_config_office_bfnd	ASN_config_office_find
9551	14334
7880	33520
5674	41718
12538	34101
4439	45818
11227	46639
13558	47591
13735	50986
15568	59378
14763	60774
9829	70815
8138	80906
9749	78905
10809	76878
6046	32808
10855	31071
3978	36665
17377	25848
4402	19869
4818	26254
8761	16833
13276	43034
6552	25405
9445	112623
8715	45268
6957	49792
8644	109021
15706	64651
12135	162502
7211	45079
4725	82493
33222	47548
9075	100422
9167	67088
7022	134196
15365	47097
8496	45305
4568	84164
14423	104912
8145	35682
14165	47960
13684	43551
8235	97835
7604	117867
18278	91727
5337	30466
7101	8673
21657	88400
8453	26202
5230	21304
9689	182928
5705	256395
8304	18334
18172	93749
16675	86383
8970	77245
3585	30133
8879	171726
7593	73791
6668	87096
10056	59580
10411	125564
6527	8025
17492	123387
10597	61431
6545	222415
12295	25938
9461	143166
3765	40068
3025	137939
7693	13160
11313	49277
8556	36692
8491	77590
8739	211073
23285	74527
17986	53584
15685	36764
7096	88114
13486	33393
6669	31321
14028	32502
8810	10493
7417	90157
6754	139727
12233	56262
16026	125883
3720	43220
10049	28454
5657	11629
13064	66227
8921	110832
7284	116670
8323	67080
7986	38572
10061	43871
4245	72079
17595	22897
10722	82365
6593	6650
18350	29247
9371	79140
6336	30246
10949	44618
9711	70875
3297	37609
19653	39327
8959	53593
6553	122765
8288	46333
6664	30091
6325	77554
11356	81801
17684	11975
13567	192639
6538	42094
14639	35957
11798	82424
6279	182464
12948	56975
15831	56611
13362	85683
9490	72175
13141	18832
5240	71522
10875	44905
12275	193648
6744	51909
9951	16234
15302	50261
10161	44912
3617	29841
13269	212669
26110	59820
10320	9245
10885	22526
19197	5666
12042	25033
11038	37710
12570	75535
13281	110455
11376	118802
20819	31140
11156	12928
14874	81811
7095	28564
6938	104691
5732	118563
9156	85652
9209	77929
8617	62061
7473	46318
8689	76024
10640	29777
11447	67818
17271	64980
8503	62060
11710	107302
10695	38029
9369	14315
7366	44796
13225	9237
7443	48313
11953	48284
10283	35984
8877	21425
4280	146131
8122	107024
4786	13562
6424	29306
7786	16561
8773	97104
8630	57935
18545	91775
9365	48425
10866	139119
9040	84232
7874	45073
9131	5133
6644	83105
