ASN_config_washer_bfnd	ASN_config_washer_find
61467	112982
61346	124775
59808	1717324
55944	1695033
72052	1734544
903539	973992
878660	1027605
880037	958893
882002	1271071
883004	1145314
879943	1266010
899399	1156833
893759	1313523
895931	1639287
878812	1803813
883266	1833261
60154	1708157
60121	1745496
878982	1011030
887502	1247527
880268	966057
894704	1887516
60968	1724520
886133	1206296
883183	3845993
885029	1071282
945787	1171972
890478	1083076
932003	1564532
59710	1698521
68290	1713019
56842	1749338
54610	1693490
58880	1696566
891518	1196728
930529	1032479
882944	1031708
879972	893848
883828	3831997
61703	1690078
53796	131518
60530	1727724
879019	903733
887471	Timeout
878624	1204859
883040	924678
63045	1706213
893589	926204
882854	1771232
893861	4712948
881556	3922343
885282	1910863
58860	1701239
891500	4178045
66335	1704974
922179	1170248
883870	957317
882190	4718439
65758	1715932
67046	1706050
885374	893912
65260	1689117
879719	879533
895998	1649006
878938	1030360
880082	1022631
897912	1223242
885599	900364
879282	966768
887515	4444830
62635	1730983
883033	4043083
879243	4667566
60622	1735203
880838	1295488
882636	1935407
884044	1757169
889644	3803395
879969	923889
878960	1107082
882665	1059736
883240	1170767
58569	1833204
882354	4246199
894521	1559591
57835	1731111
58964	1704612
61164	121506
879100	1002723
888507	991508
67506	1757566
57709	1752275
61852	1709162
64262	1688105
881151	914147
66054	1718518
894616	Timeout
888345	1877322
884887	1875008
56864	1728889
891068	928992
55844	1750585
878884	1030361
889114	3776989
889405	1148697
880943	1917891
909410	3922096
880401	Timeout
881646	1251680
62489	1705032
879834	899083
881339	911747
883946	1310807
895440	Timeout
896216	883661
882988	1121703
892264	1262105
61987	1721517
62748	1701561
906945	4143323
56785	1742875
58714	1692079
881784	1261424
881982	899983
880542	1585268
71676	1708631
881449	3883409
56473	1714480
58367	1791653
885074	1198694
62059	1711741
55836	1743244
900119	1257145
57682	1696123
880570	4782025
881630	1203087
888319	1554436
889112	1171549
883872	4210567
90901	1679877
64326	1735695
58093	1773911
58023	1750608
879887	1152313
879783	4857755
892387	1154052
58342	1858826
60885	1688535
884224	1252085
878815	1324298
891207	1289208
883839	1850499
62762	1757085
878669	1556012
59702	1720995
929713	1858060
63603	1697147
56698	1711469
61473	1701737
57316	1708378
893320	1596994
61332	1700770
891781	936922
882524	4084456
879735	958684
879595	1177542
895560	1075378
66282	1729141
891013	4024609
62973	1723859
63065	1726179
54496	1702784
55477	1702997
883716	1001617
881943	1215453
59469	1724624
55972	1725378
886389	1298833
84225	1715715
897730	1749925
57394	1722963
59263	1731292
882545	4061536
935368	913583
62760	1726099
883807	1163435
894364	1586661
60942	1707111
886486	1055078
57227	1705213
54771	1697125
896804	1599709
881583	1091890
58186	1751561
899993	3878823
904317	1184357
883299	1793045
880296	1691457
57937	1703826
884453	891914
61966	1712645
892059	975474
887985	4225824
58501	1768488
62552	1740219
879580	1011274
880976	937280
57597	1705357
61873	116882
55073	1709599
61666	1694377
72071	1719545
879023	1139021
881615	3908304
879727	1619887
62583	1716657
58448	1715150
881164	1126496
878856	1956014
63945	68276
59863	1718930
879570	4022785
881365	892359
65740	1694332
878973	941986
62720	1690778
879989	961478
58238	1710228
59404	1744364
880680	1940125
888736	1323292
887436	3841708
885252	1546804
63500	1715414
890807	1730718
57523	1764037
55883	1739255
879646	904292
884398	1804582
64759	1704719
890981	1863314
883633	1808390
901619	1235261
57642	154348
881255	3790996
883328	1092416
