ASN_config_washer_bfnd	ASN_config_washer_find
881212	1162756
883177	4473464
878804	4671125
884479	3803815
879847	1030762
878818	983055
60847	1708996
62362	1741921
883126	1185779
893376	Timeout
911600	957642
56360	1735840
65361	1783540
888413	1703400
886499	3831968
878717	1553426
58299	1765988
61555	1722577
880554	1014611
878955	961086
875424	917426
883236	1591725
881718	1097278
66282	1755887
66092	1878072
881661	932137
879801	3887836
883621	3776452
883120	1541390
890175	1044170
879927	1549584
887619	1869477
931709	Timeout
883876	897325
882570	992977
890541	1223349
905720	3818083
894307	4054896
914012	4052849
879066	963941
890711	4655959
887783	977458
883900	927478
881108	Timeout
881938	1312846
884568	4477861
882962	1053620
879476	1282802
884477	985045
889903	933980
882325	1132885
68665	1695908
880142	1275535
882850	1175739
878813	1128513
883665	Timeout
879845	890689
915780	4464643
55843	1701949
878702	Timeout
879289	1761910
884954	1340141
898017	1775122
896188	1131382
881543	1028582
879197	1214874
880399	889946
63373	1707967
879817	1701983
882808	4133426
878990	1219643
879564	1287631
880766	1962119
927131	4657859
879739	1263526
882604	1127064
894023	Timeout
75720	1736476
65421	1750393
882912	4570885
878569	936540
68475	1729734
888974	1199159
880492	989293
882432	1268815
878780	1199901
882404	Timeout
926238	1708350
887025	3869572
902484	1131236
890533	1274278
956843	1004826
879509	997680
895452	1633113
917977	4198215
880248	1091449
882052	1116245
60053	1760020
896385	1757649
878883	1217314
906516	Timeout
882879	1006902
888333	3934644
887136	1043710
880819	1227293
886346	1802538
67253	1687952
897652	1042866
884464	1057410
885510	1614089
929433	3899099
61928	1726375
882020	1147670
883150	892544
901073	1100150
890937	1050457
882455	4027826
59835	1874012
979983	3884563
891376	1019790
879966	1061474
943812	1282170
895069	1925781
59951	1743698
891333	917111
55674	1746806
884244	1029346
881455	954609
880608	1149793
879373	1184982
883049	929958
57535	2059845
879029	1735937
881138	1337135
879386	Timeout
878861	4103016
60740	1692062
916287	1170917
881773	919189
58405	1712571
914047	1288061
881081	1322402
885798	1048897
880276	938607
891542	1030692
887204	1593914
888638	1199085
98247	1677005
891642	1003300
880848	1261301
881676	978746
