ASN_config_washer_bfnd	ASN_config_washer_find
881418	909531
891075	910411
888223	928347
881888	926976
879012	955605
882388	995477
884809	1095455
880978	1551093
893537	1708164
879760	1698621
892537	1561560
881924	1849454
906649	1747449
928384	1174353
886017	1060475
878859	1172338
918188	971719
881570	1205667
903524	1803918
882078	1759101
879313	937107
898956	3971174
934919	1574113
905809	1539763
879298	4463513
882269	1259125
896653	918900
953075	1074200
912211	1288209
883323	932560
921106	1742547
882470	1337367
892862	3765091
907234	1320460
924863	3741276
881752	929556
895295	1318541
880328	4488087
886791	906385
879692	935419
888070	931121
879609	1096563
882619	1851738
878681	1906364
878899	1800548
879352	1061099
889008	1109488
904551	1274142
921609	4106753
880599	Timeout
880333	1160037
914994	4164532
886304	949402
879459	908878
883701	954545
878705	915830
888757	1315891
890969	1181595
886941	1922823
893784	3829963
905587	Timeout
883057	984627
882191	1242065
954646	3748279
965684	3696396
898448	1194275
883467	1327716
899112	1252277
884270	1315633
879673	1809239
882583	954153
879074	950141
879680	1946703
880091	916297
892107	Timeout
892260	4476174
906695	1174122
880251	1041891
880964	1055748
881129	1091732
897080	1072930
878720	1054854
901176	1630858
883042	954316
882152	1317749
907121	1010176
880160	1616364
896145	1874898
879349	4072385
879281	1041358
883643	4729373
888182	3998023
915077	4465509
887742	1284006
881016	1080785
883646	1037378
886097	4021529
879822	3820619
882607	1242068
879605	1014038
888696	1106820
880954	1694218
916596	1253366
880149	918599
880561	1219965
964146	Timeout
940357	Timeout
878652	1229405
881612	1788623
888464	3962520
887902	1085255
880842	1677285
879392	1096519
879837	1607388
920423	1209138
880331	919221
881062	1832533
912693	949370
903062	4162328
880419	913895
880789	963534
903153	1073290
881157	978425
880115	1115498
894412	1050818
910661	3843392
970794	3766598
925341	4115130
878861	4127844
962514	Timeout
948152	1079621
879510	1164836
884951	1021563
878742	1063671
883411	927376
880317	1069214
880154	3820302
896716	3962458
878675	Timeout
882564	4231116
922070	4206367
884504	1858461
879117	905754
900285	1939914
885247	927720
880357	1149779
905924	3975111
880959	4467486
881990	1315395
905693	1816876
928816	1649617
881311	Timeout
892557	1897966
879075	4545035
882788	1073232
879104	1297474
962580	Timeout
883654	1048483
880216	1848212
891284	4851611
880957	1704190
883861	3774078
882028	929625
883113	1225355
959335	1265708
880459	1253907
884296	930212
880476	914832
921051	Timeout
889663	3856000
880350	1292889
885017	987962
882525	4211731
878868	Timeout
888022	3790797
922160	3788483
900245	1086422
896402	1102317
888243	1640333
890738	1647605
882580	1592348
941879	974317
902682	4691735
935773	Timeout
907842	963077
908972	4133946
899976	3826431
886594	914949
898484	1024954
889226	3796604
905611	4086446
878845	Timeout
976947	1548276
880231	1714809
919739	1073273
881006	1804803
881345	4028917
902767	1291406
881732	924385
879029	Timeout
918437	1048923
878616	4085666
896875	1225659
974619	1207612
879397	921180
884161	943744
880607	1170221
889649	942158
882763	1137508
887975	961019
886387	1079666
880979	1152540
897378	916982
878803	964039
918780	3988988
913105	4620405
889031	933676
882842	1735377
916632	1001921
887486	1122664
878903	1775135
910239	1564701
888555	1117444
881716	942845
1020856	Timeout
890047	1262777
932971	1200435
885072	1024186
884820	Timeout
