ASN_config_washer_bfnd	ASN_config_washer_find
60909	87103
53180	120687
60100	938689
55465	1724531
56076	1726482
60409	1699228
56186	1691524
60402	1716211
97698	1666235
61903	1715711
59286	1701604
57936	114450
883587	881542
880259	1044453
892207	958913
884377	1244936
878729	1331627
879113	901409
60928	140714
58794	138398
887075	1578700
60197	1700967
62831	1746633
54598	53162
57418	1699338
54121	1735992
65466	1699028
919322	946640
880980	1187847
882388	1215522
881470	997968
886546	925423
55271	1712811
889974	1146211
54281	116416
886237	1303638
57689	70039
53402	1699011
879477	879550
58070	1690655
57134	1750197
57361	1701632
882559	990265
882549	1017982
885083	1797610
881286	1075644
878682	1672904
878928	1096334
886311	3775795
885952	944086
883399	1251965
881156	1097058
59053	116605
55087	1700872
56799	1718582
883900	1271409
64382	1692873
58735	1718781
882546	1132173
885484	1749159
883204	1147882
886456	1240055
60321	1705803
879688	1118036
883292	1774056
885059	1032407
55782	1710457
58033	1700851
70869	1676358
53237	154263
888309	972017
55666	1719739
56236	1791722
53333	1709287
55779	1705052
881424	1107900
882723	899576
881468	Timeout
886645	917580
898605	924004
879989	1292733
60245	1728368
56301	1698575
883081	924690
60968	1724243
57764	1705472
71697	1694110
879918	1005778
878781	3899969
53255	1696986
878976	944643
881904	1278355
882119	Timeout
883604	1031833
879304	899058
54769	1780184
58075	1764595
63182	1701973
60145	80997
56664	1695768
54117	1736808
56077	1704818
881202	956531
54166	1697134
54577	1706276
56793	1696985
881904	3872023
55844	1716146
55920	1710677
882249	877543
64212	128239
55756	1706409
888001	1120033
62375	1698652
56106	1729472
879210	1855123
71665	1703354
67350	1699277
56058	73306
883757	885871
879371	913604
57121	1691936
878587	1207359
61464	73826
54303	1731336
880970	1640934
882804	1932544
56349	1696457
54705	78616
55598	1704989
880930	1548492
58585	1695413
56296	1696201
59221	1779624
58396	1695866
56595	1699869
885593	1163660
62152	1730804
56649	1694216
879460	1607924
880088	899130
59874	145741
53642	65022
53943	1695934
880688	4515126
897444	965035
63015	1699915
881007	3777116
879751	1033302
57974	1705464
56697	1693759
879184	1066511
55870	1720369
59037	1697687
881121	937334
889411	931003
61470	104263
59982	1689829
879334	1304963
62750	151824
58312	1695469
60330	1689091
59231	1744672
886659	Timeout
102930	1650911
58814	1692925
56895	1734739
880704	1217685
882374	Timeout
61273	1705892
884246	1004537
893348	942665
58053	1694391
880532	1197797
56479	1697865
56620	152124
56816	1762098
56744	1698178
63751	1704483
58177	59752
58156	71431
59583	1721552
879935	1285258
884312	1566878
62747	154676
60191	1735181
881179	1548290
885186	1166090
62294	1726740
881768	1183105
881299	1075461
881349	1663592
58796	1686521
69217	150411
55668	1718613
879685	1215001
878664	1204837
56094	59739
54337	147551
57988	1748370
54400	73504
902409	1146539
58258	1732639
56366	1723152
893143	928814
883472	1247173
65934	1684753
58385	1741132
57302	1729127
894572	1335709
55225	1703337
62589	1689415
882253	1283364
55480	124332
59903	1729141
58620	67204
55249	947901
889763	1223379
54593	155154
58342	1693787
54426	1712384
56470	1725924
58426	1714182
879997	3776833
888161	952757
53060	1721100
878677	1314611
885462	1752493
55879	1698956
884339	1847134
58554	1690870
55765	1752167
882871	902006
56529	1730601
878820	913401
61258	1689906
56417	1917445
878969	974831
55293	1708316
882414	1220394
55920	1749823
58181	1692239
878666	Timeout
879016	1280165
58666	1703434
882907	1629322
881230	1953409
59288	74645
57917	1756164
878957	936535
60441	1701021
883793	3845327
56163	69794
878938	3880503
66726	1712476
58854	1742106
60805	1688234
895940	1927671
58782	1780046
55467	1715188
883163	1313033
58463	1692199
878806	1336622
61342	1713330
881294	904134
53994	1697341
882117	899482
60936	1752717
55861	1690937
878735	1265705
68984	1795798
55966	1723736
884306	4445693
61826	1716767
879940	1275483
884828	1155878
57241	1701905
879870	975230
55249	75445
57214	1695698
70484	1676008
881700	1165371
57756	1747811
58444	133116
882826	3830374
53796	1710877
58840	1702111
54066	1695560
57963	1698407
60060	1698782
57696	1698075
60631	944946
58484	77033
887240	1661043
878778	1886702
54641	1695219
54109	1755608
880101	1711629
878812	1669504
54003	77507
885045	1239972
884497	Timeout
57101	919682
884301	1318033
891014	1541018
881692	1352888
59442	63476
60554	1705069
56380	1718665
57329	106273
879784	972390
58286	133130
881277	937309
885241	985334
57090	1770242
907675	1001958
55134	1733132
58724	84881
882664	1325092
57849	1691837
880460	3776310
53046	1703078
889825	1122988
886355	909862
54675	160260
882362	1860640
880978	3967336
63406	1691033
61630	1742008
880719	Timeout
58778	1689619
67700	1734718
879225	Timeout
881872	914308
56016	1707182
923230	1814009
58997	1832855
886837	1783233
887629	3805541
888348	1022212
61622	1791358
881274	1232238
60024	1762240
54384	1702476
56413	73536
883348	970884
885693	Timeout
62782	1722715
56395	88750
56258	1700291
880843	1246638
67354	1684380
883956	1026559
55669	1703731
880281	923904
879954	986320
54557	1759119
82165	1711473
881905	1198141
54900	76436
56226	1711861
56423	1715002
887201	1203960
56278	79552
56906	1701504
64780	1749081
887686	930856
63474	99982
891152	945100
59998	1758533
898603	1087136
882760	1234915
57056	1688925
59867	1700134
55008	87294
58805	1718628
879380	885593
56718	1698711
883231	877590
888371	1143497
54114	1796511
61310	1735806
880287	1292859
882159	1142542
901985	1174182
900878	1073140
62198	1684609
885264	3784866
884079	897460
62868	1696717
886884	933287
53387	1776467
885563	1254678
53280	1703270
67760	1690315
63029	1684705
57533	1700225
56035	1695128
54259	1711416
885369	Timeout
58017	84810
60469	1914506
882841	4763022
58179	1702665
886046	1218434
893972	1804262
58690	1690267
879398	1574735
887228	895191
880518	881584
56229	162869
55131	1694194
56609	1719098
55686	97240
878722	963717
58582	1691225
57624	1693981
57289	1691375
888099	1565984
60119	1724685
879128	1709260
56609	62382
879756	879651
66563	134555
883665	1053960
56378	1698733
54616	154719
60651	1695159
59639	103681
55416	1733945
56361	147548
881393	4665393
883288	1193418
879006	1115144
881090	1205519
56476	1699834
887711	1247475
885556	1809580
55328	1693524
59512	1733246
60530	105168
881925	1050557
881075	1167765
881490	1205634
58251	1843599
879632	1544876
881344	1017674
67386	1686437
880229	961549
881150	1861870
59145	1726928
881954	3971981
879539	1702204
60492	93050
63644	1705779
886788	4100147
56073	1691153
58943	99217
53410	1695053
62005	1705804
58216	1696819
891271	1736739
66630	1706483
69286	152023
57539	1692756
878603	1074439
59499	1693677
879232	1224516
72570	1680844
883244	924713
64326	120765
885228	1313291
53018	73167
55043	1712484
61419	1698330
58215	1697514
58319	1688923
67854	1678249
884380	Timeout
879796	986213
56372	1696592
68834	1683863
58519	1699067
61294	1707253
886186	1201414
890796	1894180
59360	1724597
64673	1699656
879288	1569068
54791	1710020
61020	135765
878900	1154445
57960	1717053
62043	149320
53842	1706534
53718	1748545
61113	1692475
58600	151842
881295	1564248
58049	1690592
888382	3876591
884429	1895063
879315	964000
56402	1707840
61111	127058
898716	926868
58858	1738790
879834	983462
57984	1694563
880112	896788
57954	76224
879996	926464
883594	890343
58937	1693685
58659	1726654
60841	1700335
890266	1125645
56006	61520
889916	3784464
60397	1697634
62464	152976
883356	3819596
884395	1012983
880185	885643
882041	1349582
881227	1006389
58242	1691444
71299	1704042
69049	1693038
60156	1694952
60267	1718546
58206	1722927
65780	1700264
55972	1703394
56781	1724014
65282	1722110
883940	982255
70783	1731907
62123	1745829
57248	1696526
888416	1228097
59460	1694545
885783	1158568
885080	996478
882844	1007152
886400	4144291
884807	1124824
880862	1625208
881634	1180640
880278	1234418
76664	96829
887303	1264502
72176	1724575
882872	1337505
53291	1718301
883831	1293587
880292	978122
68169	142246
880879	984002
58368	1694074
55941	1692175
880285	896814
53535	1720104
55672	1718563
879975	899113
59444	1700801
884675	1621211
886885	920130
59496	1698643
878841	1287462
54798	1693856
53332	1741982
67483	1709052
57363	1695073
56937	79622
58939	1703676
878705	1093634
56253	1711162
885493	922584
55905	1750446
880578	885968
56500	1696014
888829	917769
57566	1729333
58086	976739
62573	1695997
55851	1699254
58008	114251
55930	1704260
883826	996049
886278	3792611
878629	1275232
61332	1691692
58505	89783
56086	1690407
884304	1163393
64211	1718285
54018	101697
53489	1734065
56206	130325
56144	1746130
58124	1696277
890597	1737492
880485	879648
66568	1690433
57193	1693601
878778	1294939
886346	974406
54034	163781
883321	3791010
884289	1010331
55266	1701142
53794	1696441
878620	1785111
56748	1702153
57762	154819
57942	1717178
53575	1761292
63052	1740256
883452	965552
60769	61543
881902	921780
886019	1583015
63019	1699320
879005	1022303
59858	1696307
883554	1057128
54697	1829306
58778	1714496
55501	1701569
63484	1729954
58836	1742422
880173	1757745
904532	1054221
55186	1698355
885998	1259594
879699	Timeout
881299	1131865
883517	1034815
59051	1708776
880659	1064348
885374	1084898
60578	1736058
886245	1551172
880050	903869
58810	1699737
54035	147316
883289	1290970
54065	1727382
57334	1689613
56031	1823664
903283	1308427
882258	1086635
881788	1139924
887887	1894307
884427	1683987
56502	57232
56733	113977
57332	77023
65981	1690527
74158	58409
887800	4248072
890508	972407
55729	1692215
55802	1694431
879670	975130
59045	1699443
52972	76685
878605	4088295
885599	1592421
60243	123548
62478	1737176
885436	1155975
880072	1327027
62319	1696046
885696	4027283
882513	1145287
881266	1115900
55911	58522
887952	1602453
55970	1703252
884081	1073576
56122	1798430
62445	1711526
57215	1692997
879299	3790857
57169	1721643
882426	1334928
57528	1700091
57887	1695775
53194	163759
889312	1096194
881225	1131844
881882	3806305
63518	1682976
57618	1723268
55516	1704908
882063	1742784
882550	1256748
56451	1711322
54359	1695883
879144	1077373
55560	120374
879228	1131181
58853	1758703
58339	1722337
55725	1704568
58770	96845
881708	1290659
61609	1695295
885750	899968
60194	1733359
882611	1053520
881312	4719316
905675	Timeout
56141	1711863
62689	59765
57540	1714526
60403	80778
67345	65875
55640	1695632
55956	1699770
60109	1691663
880490	4451918
885170	907227
56282	1729751
878825	950034
57442	83350
57107	104763
56108	1693312
879758	1821544
881977	926979
880884	1959247
57514	1722962
881110	1285530
54379	1742893
880912	1229795
902969	946434
56062	1694870
56278	1717777
56003	1720902
878825	920945
55011	1696150
54522	1703788
56374	1728516
58427	1695869
55051	144762
884200	Timeout
882112	1569100
63174	1690642
61064	1711170
879021	1580890
55851	1747168
56181	88741
56846	1713766
889034	1050011
883735	877562
55805	1740056
885055	4206799
67080	153007
61294	1699907
62656	1685075
57363	1759167
884182	4192801
882638	1860322
58629	1798104
881278	904160
60805	127372
69310	1683562
891270	1323364
55557	1720882
54320	1793803
881348	Timeout
882861	1317862
885826	938570
56531	119633
880273	887780
884062	1145521
880621	1664360
55859	1736086
887052	922818
58131	1694314
57160	1760166
56516	1698198
53508	150742
894003	900285
888052	1008226
56075	1704211
57818	1689186
58462	1694537
53584	1697710
887394	922815
878668	898897
58391	1701896
888176	1230559
53264	1746800
891267	934014
67845	1695552
56364	1713027
54225	142663
883356	1227722
65374	1739870
885762	1037985
881191	986808
55214	1714472
61720	1747365
66590	1690432
885504	3948522
55116	1736118
65986	140457
52805	57655
879598	Timeout
883597	895017
57113	1705863
53491	137085
54136	1826690
56664	1699745
882872	3775070
58825	1688077
885442	1208679
