ASN_config_jogging_bfnd	ASN_config_jogging_find
12951	1923107
20315	4629667
12777	920871
10301	26635
17931	148969
6749	937361
9043	44650
63632	2732855
17209	52917
10499	1659732
10291	30948
48917	1553697
41201	3810623
17311	40913
12527	1452519
9966	75492
65698	698246
11756	1117172
13880	66535
5880	565132
23804	181277
22420	622136
23460	9050
10031	49727
22359	2125374
20966	426589
17102	49985
12110	47909
11521	1902668
137752	688205
16313	87436
27458	705915
44258	1286731
8770	65424
53100	1258116
29706	1113636
19775	2146345
43950	4050448
25509	63133
65053	2838103
80307	1167275
59357	1664860
12354	37617
6866	648827
9344	111883
26981	1101800
22238	11152
12378	1724975
47149	2474750
8189	78673
25868	Timeout
19280	46854
44476	1638024
12274	923795
7131	705273
41302	610082
13687	238904
16836	20672
6715	43718
38045	1032321
11348	43791
18263	42485
10807	40611
16678	51437
11546	775565
30934	2198915
16453	2504271
10977	64138
29930	2579260
24124	54786
25389	899572
24342	27090
23924	27392
16086	1142269
10630	60411
24987	Timeout
13479	39801
16752	22400
13195	48375
11425	163334
41984	15846
35914	Timeout
38878	2503875
9709	12191
16804	1423832
44136	2154535
24014	4861699
19346	38929
23513	2752857
24085	1519210
14615	683570
11056	66639
12903	1543117
16000	Timeout
17811	1963393
13358	44002
69416	709643
49296	1870892
18134	31882
96693	4632530
29546	34668
24601	Timeout
17582	655790
24523	644002
12987	286767
30944	71215
11310	34068
16430	1534167
11938	1548649
24435	656856
26825	2168720
80792	1897093
12960	39197
48557	38472
25732	120780
16127	1087521
13962	33848
34006	Timeout
23755	168339
11712	34466
24193	1799201
30618	2248453
8290	1599230
47579	4374334
53975	Timeout
7648	35092
47714	1665135
92222	747918
16784	34457
12813	438991
6394	45781
43841	1046187
12939	53690
11995	1454138
34266	2697408
12412	1145831
19975	Timeout
16112	1020693
32456	3291454
17880	40423
7806	41307
34894	997008
31377	684106
20809	2167808
10745	71236
18653	15917
57968	4665235
11701	70698
72344	Timeout
47279	1307705
51474	43163
21513	4697780
33347	1290047
13541	13727
11479	40880
29719	52714
10104	68244
16985	109689
33703	1285186
16421	3432548
10030	86558
34841	248650
12860	73630
60125	2099719
33491	816256
23252	88087
57755	1147280
25832	1188505
16130	30158
10464	87952
81298	Timeout
19174	154267
43830	403331
14425	292526
17038	4416268
8530	918844
63539	142268
12803	44460
17257	747068
33459	2963640
14827	649962
51963	4107578
23981	131706
11245	42033
43752	1107867
53893	97254
11744	97281
14985	31551
53874	617101
15887	192364
9104	49722
19462	3680872
29959	30578
98834	3039967
5988	42445
30229	407112
15913	3294864
50131	64682
8715	334521
12928	43452
51888	35159
24278	1866576
35972	1561222
21992	80572
13680	870927
9603	15001
37339	164546
15666	746258
12893	66388
11507	58425
12784	49534
25733	3810036
16547	108278
15896	Timeout
15338	761669
11165	25381
52147	1959844
16172	76641
11230	6699
29956	95916
28480	626764
35812	1272483
14287	136041
25429	46005
38234	1134898
30600	36600
31539	2843761
11097	384131
10477	28162
19980	500893
30769	668799
7431	43268
37666	841997
77850	Timeout
10034	428534
24029	63718
16056	1328982
30309	Timeout
49891	149707
74310	1224086
12250	54776
61010	1183461
21019	698706
11760	54174
29863	1304974
7982	42181
12184	234427
10324	115371
10938	2682494
12619	17662
24252	1208787
14417	101245
45065	717121
15982	435826
8143	41796
23228	1459361
9588	369666
12296	44999
44194	3783375
33866	1220634
40415	744367
34801	2224374
16445	1738431
8390	199225
11708	25012
34303	1158340
10447	90497
9417	411669
16185	84302
39011	65114
10446	20605
50416	1155907
12444	1185004
20657	Timeout
17076	388529
12000	290386
10034	16629
7651	23773
21235	737533
59639	Timeout
13880	1171240
31188	1179502
15496	9217
46622	2517395
12449	92703
44017	584822
46945	386161
16146	1163720
13736	52845
60260	2181903
6817	43104
8241	804014
32911	109636
53720	2959380
19779	39881
10927	47377
11415	870087
10934	109037
22232	54512
11757	295154
17361	366629
43324	1682810
14389	635655
10599	14696
18667	38640
38512	866079
13188	407280
16798	47309
31768	29043
43316	156464
10610	1118144
43706	354256
19188	63051
48127	521212
7484	138789
29945	837551
7888	66219
17912	26351
