ASN_config_jogging_bfnd	ASN_config_jogging_find
2606	1690
4688	3016
5207	9248
8305	10177
13483	529
5143	17560
5961	19154
5626	18418
6575	9273
10190	17909
2475	2395
3603	4689
3752	41666
8378	14657
4847	51122
7907	46472
6213	22501
3452	957
16422	70057
7126	11166
7798	16940
29707	91520
1785	2821
40106	66194
7155	22864
5077	6721
11709	49863
16192	150384
38339	35140
13603	58467
10946	177059
7389	1049
4090	297285
6480	416033
47627	12728
15769	167585
9269	972
4751	26152
5258	61949
7594	45440
3967	21512
15263	10557
10253	5795
5265	747081
35400	61909
10752	759070
11112	56028
8602	42579
9138	5328
11777	15137
12512	35365
16091	15961
4285	875
3971	1046136
8124	17271
7406	29669
3682	1012554
6665	24120
17506	1133282
16972	49522
56587	1177093
44605	1214918
4428	22801
10498	129488
4297	762406
17438	12101
19859	15966
11191	85257
4744	49943
4873	378
10855	13440
6711	1148796
5559	31309
11146	20618
16368	199655
9559	16852
29443	28191
11833	12049
5034	60626
15681	107701
11242	17734
3509	70440
10730	40715
11807	12434
18342	15602
11919	20282
4520	770332
7019	49716
5169	3189
6786	5024
15460	91787
3157	1087
16079	251230
10925	1812307
6021	60594
32881	37005
11619	8925
12534	49041
20023	355524
21489	77685
7362	47009
4799	1000501
21235	11205
5052	64354
11844	113092
20448	199358
13710	38790
2357	1874
10863	49644
33372	846330
34889	50471
7904	24660
5443	52817
16877	1704598
10350	744841
16091	59749
10774	10728
6305	27232
17760	22099
37372	164502
10465	1363958
24975	1776076
9263	64588
11536	104239
6574	2475
17221	58340
4015	34392
5586	16452
7078	1036
13377	8929
16252	29999
6902	2896
10525	25566
12448	35393
3631	46491
5733	3126253
24118	41358
4203	62807
12121	1287018
11853	24814
20272	11169
9442	4234
24724	2751823
12023	3253455
4506	46469
7121	296577
8141	89717
6084	58112
11848	1657625
5717	12491
12097	192961
17256	86325
9525	1497
4111	40465
8336	43861
15536	899822
10718	75542
3595	3756
6134	6925
12791	398494
6835	1432
17834	47291
7313	24004
16180	43151
11034	25314
10120	226323
6867	1387514
16834	17608
4714	59509
10004	194291
4212	75370
16762	149734
18476	45237
30651	698876
8456	409653
6790	545128
16906	20461
1967	2007
30354	45213
12441	8993
11206	17561
24662	1791036
10803	1193292
9627	6145
3656	49728
23456	1134159
5733	26611
4190	20698
9255	847
4369	49543
12612	486875
10916	14279
16953	40828
11975	89742
17669	33833
4573	18159
3855	13250
8765	756217
8801	52572
15681	433845
16070	110125
1665	1676
4801	54694
4150	927
7698	17011
15555	383048
5317	1838
10436	Timeout
2745	1045
8042	5448
12026	Timeout
13174	17118
7290	379
16666	49889
5162	22762
11327	1747333
8673	26983
16077	103497
33786	29160
11003	236405
6515	7542
18393	4395320
6434	21917
4171	57809
11595	31206
6324	1367063
3413	527
17250	769199
8763	7982
10228	401666
10984	4232624
16646	651323
2302	522
12236	3289
10499	19993
7385	1226186
31189	32660
7485	19611
21857	732894
7466	44786
10025	750338
33418	109834
24049	627339
20145	180962
18654	428530
21383	11277
6967	15765
25543	18964
7192	27693
10229	54670
35675	2601086
4399	25215
16101	2785252
5173	27339
4252	5790
37593	29055
13476	1103245
7400	64929
10908	2765603
4065	398628
14758	25335
3831	23119
43270	231272
8761	265467
25912	11143
17658	47473
12906	27624
12057	2232199
2225	4771
11961	433817
10009	2509535
14633	10898
19450	1285420
17012	60992
10142	76184
5126	23166
9348	30168
5997	6872
34919	35058
2360	1432
21763	2004768
3816	831522
8768	15331
31271	36539
9935	280491
8372	20511
24391	40626
4621	16136
9428	21334
8276	48593
4403	1107568
6476	34625
7729	15864
30850	171058
6575	21698
13353	122382
16061	438935
12221	15645
3959	677392
8056	828718
6329	70683
9325	11173
7400	11111
8251	77520
10780	34448
3858	20483
5504	7862
23339	184026
25306	1372083
18220	822546
3600	5800
10850	724527
12753	46102
6784	20349
4790	2553
18173	23606
2852	1515
13590	705421
11857	1310040
10942	85310
10671	6656
5062	17833
10849	383435
6153	45367
11366	93534
8452	23984
15740	1552663
20885	11162
4090	2601
5698	46676
5662	4856
30741	31953
4587	61061
11397	64350
3961	65849
16189	430273
12698	19231
16011	42659
10462	10616
4052	979314
6352	3290
18412	49259
3889	2578
15900	1101473
12390	3910145
6342	20451
4775	11189
20536	11161
16847	77423
5014	27218
9173	711443
13171	15597
12678	108469
23039	45574
7833	62998
3328	628
12278	1475375
9975	899
7497	770346
29968	32603
4681	27156
10091	Timeout
4256	44804
3848	2743100
4740	39337
30461	56057
4342	4326
30359	59623
3575	47649
17721	4167570
11071	19008
10344	876637
7233	23138
4562	2867784
7434	2018
5913	661841
6869	99482
4449	191640
4979	17620
18560	12134
8466	5496
11929	33375
6749	2601
4295	2346
1332	3474
10025	747630
3812	32653
4528	25286
16271	1073807
3542	9828
4880	26989
9072	780437
17495	437684
5261	7092
8275	635279
11093	1715777
9896	709738
4563	666507
16295	99312
8992	26844
12065	48727
33343	1214235
3647	54660
8215	5042
24714	4147406
5125	13199
12382	44919
51483	157420
20994	1110213
18202	Timeout
24177	68543
1685	4356
5305	870999
10917	11210
8142	810895
4284	700489
6778	30443
3700	23351
10339	12031
12021	1308274
10151	5812
3808	47631
7012	41569
18916	328760
18106	17917
3583	7243
3898	47630
10266	54705
9903	240265
3845	12863
16504	15874
3732	27126
17368	14340
18975	81549
8732	43010
12283	1021829
3821	48418
16043	49833
4745	22619
11446	13306
8623	18897
16403	55696
4768	17991
16946	498320
3836	12131
4684	763534
9361	13458
4240	17458
33219	72668
16149	2881264
17372	4283837
22780	8946
8765	2595
11953	622696
8344	660965
17033	20486
17861	745010
4064	13113
18204	810
9946	48733
14574	82658
25419	421762
12208	68062
21296	3837451
30147	109688
16439	92646
10228	2627
10094	182618
12240	102533
3883	192658
43970	111278
5012	669
20568	18235
13948	1620638
30954	2714921
5358	663167
12701	60986
10887	126857
14575	744219
8934	82624
10771	26119
6474	920872
3897	33267
31193	59553
4971	656394
4746	25005
12231	406821
