ASN_config_jogging_bfnd	ASN_config_jogging_find
12611	108549
56267	1155666
16131	762497
49339	332271
12919	46559
17427	1445830
30027	4524999
18794	3140717
43582	Timeout
66257	3885343
23689	38437
29583	1497924
16109	76631
11832	43751
73383	1778128
13531	141796
62466	357822
25791	Timeout
37910	38014
66322	1827772
14856	690649
40005	736303
10153	4961694
17557	1797565
31028	1232759
71919	60606
12585	137448
13297	2200972
15076	71647
11166	1709734
24117	221514
60263	1256411
11277	90217
24240	1284517
11678	777713
25374	22379
35201	27626
35480	39709
59673	2081849
30214	83569
98834	Timeout
11313	91610
23862	524609
11169	40455
23390	48946
57877	Timeout
14945	859937
31070	383886
34280	81411
49512	88182
43871	2075429
12565	824043
34825	42008
14843	2865815
30430	1088693
17428	19418
35862	1263753
69033	1110779
16594	52187
72868	80091
25243	Timeout
43531	585308
38612	63987
10703	42593
21170	743203
15726	64207
43309	2816444
40051	46466
19056	33522
24529	3349185
31977	1091866
17234	84416
75449	3994996
73650	2149387
24844	922504
15946	1244368
53714	Timeout
51136	3528052
13174	53359
13025	48704
18140	43433
34355	4521433
63623	1948574
19897	66668
10109	1064288
47055	840028
16357	3298400
12607	41261
11952	18336
102559	1059854
12653	93198
58198	4661222
9973	75810
16644	22636
16085	46779
16884	104281
28158	314934
11128	25330
33652	428034
14373	104826
75243	2688381
11606	40671
38456	1652624
69953	775216
77802	1874080
11579	113375
24486	2373296
19683	46563
31458	69431
39210	2795712
97794	Timeout
11498	103645
15675	4380598
47442	4097187
25438	23297
31608	1061393
37212	1593677
44819	26916
10310	135457
31358	1063030
51649	1826491
17001	851145
39796	1049050
16794	109017
10291	72113
47850	1546652
17303	1868370
17791	1927797
16392	94899
11890	1113332
10155	335146
52290	4806170
43571	916836
31597	3141998
11052	Timeout
23248	49022
17698	29706
9944	60227
24493	50488
15188	17234
14768	179668
11448	50138
51351	708756
15216	164190
25275	24757
20659	819432
16883	54348
66301	1466283
35950	3505646
21853	Timeout
17953	34125
32043	30323
18662	2756129
11512	40588
23376	73041
24080	37903
10593	51738
57010	94952
16277	18011
80712	1452318
43366	77803
23717	63872
24391	1682312
17590	41870
48009	2359060
30572	62355
11897	34270
14297	76111
59917	1265580
47172	59228
17129	69084
29834	70795
18909	53398
33703	81901
10247	96058
25404	1322840
24189	87704
13557	648878
19907	42567
32669	1302058
13361	28954
23862	133209
29874	3250309
43537	28379
43966	1705139
22360	60569
58764	978074
33844	667572
51009	707932
24498	41044
17172	57453
19983	31077
25148	52470
11069	58528
13090	72420
11713	63950
36267	1692662
12795	45989
12866	45661
11871	145869
36434	2168782
24504	38224
12698	73766
30528	1395657
58190	888221
16303	86650
24840	2133618
59062	462772
10945	31333
87842	4428818
57377	786887
23990	38721
32252	511580
22614	118167
24367	3259915
63350	4191074
49780	Timeout
13805	86667
69095	Timeout
43288	365802
38984	1427089
10460	1538760
12711	1249986
18316	1491522
18573	120610
36462	4205994
11003	40283
38629	3612116
18423	42474
75105	2442899
11210	2781083
21063	82703
11532	835708
14342	635748
78748	1651303
11155	2735313
14134	2467928
69187	1450237
10778	1225072
24376	1391092
65868	Timeout
38631	2062155
16527	1490801
63398	Timeout
100272	3733868
36858	2758663
38237	Timeout
