ASN_config_jogging_bfnd	ASN_config_jogging_find
11937	46631
16405	43001
16902	46686
11383	67239
23940	53393
16141	78141
38268	37869
19760	79992
33725	52490
47041	46481
47707	46729
33622	43248
25124	67593
30183	59481
17881	59101
24039	54866
9979	30077
14738	713225
94447	810147
101964	754828
25184	979027
10132	56953
11679	1010372
23670	159585
55127	37765
47560	1234798
75039	1313760
17544	1338925
11885	1314684
30312	176792
18262	164351
38459	1599070
81106	1455962
10386	54801
15862	78240
35121	640496
21408	55216
16034	832697
10852	823542
30338	419123
51620	1106016
54293	32596
11104	63043
62658	1093491
51677	1782778
10921	95909
53519	2190231
14259	75479
31761	26902
11582	103536
49186	1250885
16848	40863
15234	89757
15812	99809
13848	89037
39079	1779553
11149	1337557
10038	67926
15635	182483
32941	3774304
59718	1440776
9975	76499
30112	1723241
54120	4276626
17973	33537
24801	2157785
47459	826817
55498	368496
11120	75271
23043	69839
33217	1395111
47186	1488738
34826	1265849
98657	1614449
54075	Timeout
16535	170740
11519	Timeout
49287	2715142
35782	888414
23722	36038
43394	864673
10194	104355
44501	1891607
23968	87477
63081	852106
52175	1541641
24404	3770546
12057	795056
59642	809269
69604	1285973
18529	911180
18292	239902
18978	43440
15793	4806791
16677	1113324
11677	95279
10209	126228
38197	1354134
18747	416332
10427	58154
15588	35935
99393	1056851
11219	1986866
13554	2752824
46977	2882250
61207	2745679
33069	999005
20036	487817
30248	258573
38623	2709339
31100	1159605
24606	1550531
94402	1051544
10101	114831
11151	103786
89659	1768065
18140	40512
77498	2729495
31599	94356
17095	669005
76665	1040117
57402	2184787
43623	336442
29992	601348
12080	35525
12535	8986
13686	23851
59463	435139
22943	1695905
23373	71974
17736	2497217
37509	1185270
16816	25538
12103	159205
43670	853928
16727	31032
10364	88396
61151	3214561
12191	97191
10579	110660
30353	83912
14171	45241
42928	139246
13512	26958
12050	141039
13182	1104111
24259	4463678
63866	2449832
10110	433322
11653	34567
102874	4844494
30150	39336
62688	1774149
15287	60243
35132	40898
36116	58807
19431	Timeout
87476	1246415
38172	1276107
24356	1187177
63527	879293
11899	88779
10812	Timeout
42800	1408417
47075	2192670
16650	417307
30544	32175
25137	1781788
38017	724522
43638	708701
29084	47518
33135	412579
30940	1572490
53840	1291801
12590	61563
11790	852815
10079	1911163
45584	329973
33376	46967
10471	1098723
16114	54213
12628	48945
11990	81012
11380	62744
23207	1305513
11304	1210572
30515	1154684
33793	68313
20998	104853
74785	1255620
38323	55933
29690	703143
57144	3104521
11002	40463
72655	322078
10234	101297
20981	Timeout
24279	1330552
33396	1742370
53609	Timeout
12662	112025
34950	603694
14718	22659
32878	1118752
11290	90173
91768	Timeout
10401	50264
18723	39697
34278	81420
43424	Timeout
13752	225521
44317	Timeout
13208	102397
10383	45204
38673	1004620
18389	42814
92163	2100200
12627	1321446
11419	Timeout
73426	1597224
16310	1856071
42851	1863221
17059	49612
35672	520396
24904	Timeout
44434	720990
18230	35126
59935	873495
11606	3800533
15120	736458
17365	70017
11386	1229558
20302	1678338
10160	54340
16871	47456
23995	22872
57601	2774498
10352	4870155
34951	1834191
32491	70748
37519	705177
39840	1537756
27197	3544760
14042	82418
19383	1701036
106050	1128574
36486	165399
11191	133629
24582	33701
34634	895077
16195	35384
10803	25526
24179	47236
15644	1391523
15223	2718822
35309	611489
43643	1102390
66173	825219
43385	1111746
19001	47495
53784	2872453
50990	1905505
64937	55198
41554	Timeout
16425	53111
23863	70097
38110	3213483
23775	1094514
10682	49910
20509	85840
24838	43568
12122	3077274
14926	47088
31523	45556
23830	829589
13346	389908
15395	33365
86081	3464280
58509	1949515
15000	83285
52010	1048823
23313	993898
11951	417974
11718	47737
15840	1318595
16548	41694
42983	393653
11773	1237349
24558	Timeout
33357	Timeout
23628	58419
30325	90845
17471	865889
16214	1671090
46748	1275139
29840	4488045
44014	1773771
43582	1816603
10978	2509824
20834	1493024
11092	98008
78098	2041133
10924	162831
57449	1146630
15820	251415
25306	2118757
16346	47105
74190	213268
21064	1233689
30052	747553
20884	29141
43301	2080852
47411	2935333
18713	1971140
22693	31021
72197	1496259
11041	22636
17923	112235
59014	79729
15802	44793
17224	83128
25111	3409428
14440	33214
11837	1337600
29879	109640
21250	3767546
12535	81545
57521	2057952
43937	903251
33884	2945680
20586	72418
11759	28460
30748	4571780
23712	77685
16125	46739
43169	1285990
12666	613515
92348	1215223
30666	70982
18632	133418
12537	41130
46700	813651
13087	105699
43218	1460868
43884	4137880
10823	45974
29671	91463
59018	4477026
46579	1811139
16230	131848
14123	51411
50468	37057
21847	60364
50297	65350
23516	406291
11889	60577
10979	72043
14764	37403
24331	753735
13616	37492
29107	40123
25089	412695
14505	Timeout
10356	836923
15696	921229
16695	857705
99317	919121
19051	734220
33518	63686
11273	92306
76799	1912579
51541	1200267
40706	4424770
23933	3928161
26360	16016
32609	2770822
26218	3062593
17812	1014198
16005	26831
35233	26903
12510	72952
32488	33843
21033	18238
11486	417664
16681	47440
62843	2737755
21537	874494
26437	421144
39805	4487003
43241	1674413
43408	624338
51893	2028783
10987	87542
22450	36980
55503	Timeout
80575	1656892
29650	682064
24082	2072347
11333	108655
15698	757297
33939	36506
12107	63517
16882	54759
65285	1242340
20002	79291
89940	565642
23091	51063
11925	4267732
24292	1401239
30953	811711
10920	708630
10124	36410
33924	105728
42773	1174421
11342	3529615
38753	2211244
65635	713382
32693	Timeout
44505	1545851
57279	Timeout
29229	677955
75392	3581022
29155	68771
59090	43986
10436	36396
29324	73391
16124	69989
11253	893271
14903	42833
17448	49773
22163	78410
12520	18958
11127	66007
18592	2491920
10022	749154
19681	124202
38680	1480779
13700	1614032
18854	61348
12609	48947
20424	1298464
12676	63030
51106	952985
103977	569349
63698	787179
17355	725323
10627	40820
17214	18227
15995	1282176
11193	3264886
16466	55799
11857	1326804
38126	80012
89674	770626
63583	4610212
13627	1236669
15275	139949
63103	2203515
11705	51540
45966	709224
37624	986785
33233	1320588
29988	143562
24612	Timeout
54800	1091177
13746	1180911
58461	1851112
30026	125243
18685	825170
76783	3428125
29412	746091
23426	1492637
12730	94340
12424	1297346
32758	2833382
51771	1101137
76654	3284065
70422	1369675
10200	66454
13075	383570
50552	1849344
32735	893054
38574	2719506
24788	2122199
18212	61238
16244	43156
30066	675480
30169	158189
10651	19108
25989	45457
12365	1035277
56250	159522
36637	4252923
38602	1950135
11567	1308752
39980	1687647
16484	53870
86098	644777
11945	878705
21409	1329662
61830	60584
44152	1702735
16860	42599
60542	92531
31607	42192
33840	1300226
58690	328341
16558	57558
11282	64514
49428	2855924
25341	2452763
21447	50173
16931	40976
46929	3436313
16425	39361
13438	58574
63321	1494272
12162	2231529
29572	788572
35239	4898828
12259	1318358
16287	73484
47437	1704043
22249	78242
11023	2172925
10215	1832157
15617	50258
33691	1433191
43285	1681342
51494	1186993
11988	136856
16096	283511
17933	Timeout
11367	82823
40015	2737082
56095	1924161
23948	822699
59165	2458830
10121	390422
93370	1209586
11261	1830747
69192	3220378
43297	1887158
29673	41347
39294	1191554
13194	98099
18947	36714
71604	4668075
47017	2225347
34016	1507965
12664	Timeout
11295	704959
23995	47615
35202	1457241
19746	1225448
18073	1085433
17756	49606
40238	978250
23738	123765
31835	Timeout
24259	3084260
16918	34139
40057	1447144
12066	2551030
10780	66352
18112	47729
20989	81966
11457	45698
18882	40493
24067	1688373
36234	4911046
28237	15990
11262	36291
15795	772091
12582	51334
10047	44618
10720	40694
30531	1120858
45699	15939
35793	391863
12817	44456
17719	191662
56933	3777920
32310	1576548
11934	37155
60358	1086621
51003	Timeout
23895	99505
18690	1339901
21863	4636198
15121	27250
17127	855488
24809	Timeout
43975	668178
10285	24922
43381	644328
10242	1918636
35524	22937
30224	4080323
16522	627791
18961	1988870
16097	90270
85700	930538
12716	917882
16472	41834
26231	2754649
34306	32664
29566	1846438
11531	1453401
11253	1313625
15054	1902572
49786	968630
13720	1922552
15972	99101
45169	22380
30714	209482
37774	30496
16450	1946161
50809	983752
68866	1770387
87565	1497835
23874	27657
41740	696158
30195	1174847
86473	3746492
19037	409890
10809	3220307
50663	1252469
14996	58790
16753	42755
17119	51716
56163	616751
18392	1957944
11098	56025
20461	161186
16797	784305
40124	1280962
12026	860237
39983	1814005
13504	48081
35119	62133
38079	1074964
12692	2252565
15693	3439542
14170	2078212
16062	93299
35158	26066
9944	144452
17440	44911
24557	2722612
43272	1673304
43430	Timeout
38912	659237
36674	49677
38106	60360
12482	66559
15131	109749
62058	50524
20238	4459346
16681	76694
53526	1247676
59601	2716798
21591	15867
44944	4518596
9991	47513
66391	2694803
93330	4049681
10209	97374
17936	33495
13519	1589070
16049	49838
101887	3515313
20669	1596917
69975	4071857
70869	599746
18478	1959080
103150	2593486
9901	48029
24095	4657565
47481	4555366
33381	2481713
14067	739062
32086	1077475
11264	34915
15418	51642
18606	40018
18698	1240804
33715	2088546
18314	922088
15678	372873
58589	666409
16919	33067
18696	70034
23702	54727
11300	1146725
23475	66696
11909	58860
30039	Timeout
29724	908839
24111	83155
57049	1893869
17718	40632
25624	669157
38962	676324
31957	754646
16109	2787619
21234	3221303
17797	263069
19354	132584
10905	1647381
9955	67902
12658	46250
22221	88017
11888	47673
10616	51460
24060	2720470
26290	18236
24026	763680
10231	38367
30156	3218191
32538	687092
19632	52841
69267	Timeout
11389	2253238
125853	Timeout
17729	31299
91640	1565782
69765	4406455
63347	636219
36097	2420851
32944	3041991
12089	89673
17909	43755
62963	482867
36508	1488514
31295	238858
11173	67069
24524	2127404
42695	629837
10351	66332
24566	920199
25037	751994
30354	2437638
12398	55713
12364	1291332
18336	1173851
39383	143303
16108	105078
50325	644675
17915	15914
60359	3245656
22591	57656
11890	684712
