ASN_config_jogging_bfnd	ASN_config_jogging_find
6741	4806
7525	3555
6837	3294
12531	4239
11414	18582
22910	15936
13896	56047
11345	58786
4106	69828
6798	11532
16043	87059
14348	44320
33878	72422
9019	33327
4656	26967
43842	93570
36646	118134
7371	175444
13058	46873
10567	69478
29824	69673
9935	26801
9579	35343
10592	44033
17372	32608
31459	30325
5574	118427
10780	135604
10062	393182
10154	205583
11585	85646
15740	83954
16814	681222
16204	393813
13107	40626
11143	136319
8114	26433
55765	718846
12670	707766
11744	926031
7072	3356
7244	742999
10419	936816
12519	45668
13553	1309046
8318	1385266
13174	49040
7084	675034
12002	135990
4604	12249
24502	26924
16908	104196
30082	758748
11770	51117
5891	55620
8923	852650
10271	76160
17284	1216307
8590	61217
11501	1660290
5912	811989
16496	2168152
5759	33581
14870	96506
23653	34359
6091	1220224
8852	246464
11348	695050
11678	18844
22565	54426
22578	74039
7457	42671
6237	44352
36412	42377
5810	2524
43588	54858
15839	28635
9845	43863
30468	2240936
34836	632912
30220	85233
21764	49537
12273	11171
11549	1070062
7047	853262
42541	1213055
15190	648562
37588	2941426
47036	114789
10798	2750093
10534	445265
5304	15339
10475	1240282
23744	1525994
12849	50021
11579	76818
15241	1142374
9226	555350
38105	616346
24508	1321745
23077	424108
35529	57409
13761	136696
30602	185352
7858	1144627
19037	643438
11733	2715204
4334	9500
13353	657622
9934	1731519
22739	150133
32577	3027870
9908	11027
29818	1654896
58045	499626
12394	53489
4344	1506818
27887	127434
13190	64894
11237	1830962
16759	187510
18863	433088
13368	197104
16287	49717
9283	4300
7415	34827
21074	36866
11839	1818516
15215	846341
13792	8933
6251	2645
31231	65976
22679	4724283
4341	4234
10594	20537
6115	45515
14289	17328
23325	75149
17011	64961
16613	49972
10997	161967
36412	44713
43560	Timeout
29835	979520
35490	75860
27370	1128160
16223	1995784
20711	733325
19544	57595
19383	48304
16367	4300
4164	30457
21301	657633
14462	34315
4780	12661
19575	18233
4837	2796222
25015	400538
30021	598820
12370	33914
12482	1008371
4518	11370
11500	15008
8383	443403
13024	745713
13725	33740
16369	74418
17013	162365
29992	3791843
32724	1974585
21742	379107
10049	13066
11053	202116
11863	Timeout
35693	1075775
11684	68559
20697	82113
29691	1004482
12115	25975
32440	69080
17782	284555
31693	Timeout
16410	105883
14208	33305
4655	53242
12210	62920
16806	18937
14094	49294
20337	27328
3637	6168
18764	731669
4119	843148
18556	139898
7577	714565
3962	35420
23115	38428
7370	32818
6776	31321
24030	1130959
42750	Timeout
15695	37948
32814	82151
22073	2918870
3554	4750
30906	1456642
24009	370315
9256	3388
4750	17831
19425	1232095
47267	332797
8180	835490
17714	43841
5513	554215
10077	38661
18136	106563
11965	65520
9080	201957
58067	1126368
24533	612491
23584	1116013
10134	428494
4974	2747677
10126	21310
37535	4658402
21834	901329
17577	47474
10799	18228
10186	1304814
10709	1001701
11150	18676
8058	395214
43751	259025
12273	40984
8078	295448
14107	17843
17642	42849
16414	122983
7762	713076
7206	1920337
13864	195887
6743	20867
33569	731203
29954	77449
18964	405524
24373	893436
20438	37276
6361	44760
17486	Timeout
7134	7488
16218	2790742
18824	1286794
12663	53345
10898	25788
9090	21415
24579	547798
11152	90716
16607	823499
6793	93431
43483	2371361
5953	12387
8411	50107
20032	46446
19858	4048950
43316	394043
10714	21446
34892	11170
32558	416908
12840	36241
12991	48563
10605	9061
24785	908221
10076	22266
8643	726301
7665	7587
9808	41345
16834	1574448
8824	270854
23992	1968871
6020	20908
11675	135634
17293	108854
10550	2102243
17460	44770
8362	2257531
4045	42199
16376	2601803
50851	Timeout
11384	125901
10438	205390
32760	1189170
23940	72620
5151	6571
8596	764423
21752	658758
33752	1055131
11571	Timeout
16736	1188753
9446	674592
21713	390999
9732	17207
10200	4528105
14860	22094
13815	649954
4858	876417
10255	64031
11272	174401
11374	25187
30858	4193560
12046	4053204
16336	1731215
5375	32620
7462	29360
6879	1326150
23869	52866
6280	1072985
12480	47053
18081	Timeout
13482	8971
5945	19245
17632	43901
23721	254908
35700	1829052
8753	21847
12466	2741367
6135	7362
17670	194591
12164	1067308
47160	Timeout
10225	68594
33550	3862415
7487	269965
5088	22977
23385	1815369
6295	403110
5230	23974
14223	1856791
11436	20434
24558	44728
32561	37714
10135	96424
8206	65919
11871	94458
8427	6660
3799	750945
17817	44324
20867	25576
22818	73352
12303	46419
9229	27530
57834	867555
11927	99359
8769	28235
17535	79718
5201	64653
8445	55938
16488	53974
10095	1482274
6662	29266
10220	656581
7432	41059
32460	1570669
19927	74367
40131	731405
23949	38371
16371	58737
40156	46268
10560	26286
11072	1226343
24140	864786
17345	51858
9075	42075
8672	1727816
11707	4685837
35820	Timeout
9973	43766
39222	1698446
20210	12093
16701	1093662
10042	17289
11569	91125
10167	1173051
12598	35492
15118	11272
17887	1470615
22329	Timeout
5451	7695
10767	42956
15631	190986
30500	730274
13055	50866
5975	436148
17977	372080
11126	1321968
5458	5089
4218	927060
36409	Timeout
48440	1332315
23490	132065
17824	33878
13851	188288
10333	25797
22653	18601
10354	18612
23397	78609
58396	1569860
9016	46212
50414	3409350
16530	2160142
35427	888801
10079	687302
13749	4834
12224	50638
10255	1272414
28725	730455
23515	410383
16319	130837
9356	411535
23742	1553834
13739	10331
22411	750213
20276	55735
11202	41376
12709	1303026
8934	4317
17729	27227
5016	51797
12584	44755
35504	1888355
13307	32911
5292	70840
16117	1059284
8179	24130
6362	2480
6588	675537
40463	154482
9905	32333
8550	1835458
19531	179232
11554	Timeout
23986	138533
7222	567492
37946	47573
18986	15915
22391	28745
16758	54402
5436	25969
33033	385187
9727	8605
14190	60830
10208	9077
5920	938092
8852	535187
23522	3783076
5195	85913
35876	2206887
4946	64499
17174	854761
5440	20158
12384	9111
29443	826328
10764	101522
12779	831020
5852	942950
17048	108739
47183	764635
6212	18116
25293	2233645
8235	877621
9959	870939
17293	88465
9702	865418
16795	1244456
19656	651747
24137	69140
30100	637877
11588	414664
17400	714646
10929	113563
50894	403297
13719	275549
10124	851434
11672	1319333
29426	5802
13003	44103
24029	1063784
16085	20852
14174	847397
16171	1701853
10119	924396
16922	15918
26897	75692
10815	831058
29115	1986731
5003	2771729
13013	381729
8353	58216
5168	61396
17098	484169
16418	40856
29223	1804957
13804	206276
31538	28146
15706	39929
13508	239110
10378	34618
49669	504433
31187	1207263
5375	70312
63348	2456614
8152	42596
16656	1917893
5993	1092942
25251	130453
16979	15615
10544	95890
5368	32639
34567	116992
35343	2233463
29398	96520
18406	Timeout
24413	46997
10969	825519
5311	21634
47228	54264
12620	2984472
11484	829162
11584	25569
25831	625548
8336	1830740
20306	27313
33725	811411
16520	1063735
23270	114635
5193	53653
24019	427039
11403	199621
22604	2481727
24644	1896300
14922	995195
53612	1630104
33008	1019350
11812	42755
5593	18298
6760	920599
11046	4811
16127	1334446
31457	60354
47585	3340520
39769	1705522
5571	860141
6822	130142
5201	21561
10192	66955
32959	4100862
32267	93606
7579	66282
18689	28768
10325	692314
33881	401215
13378	8628
12154	24805
10194	20894
12760	69275
10008	833745
43686	385494
22636	79009
16837	140120
6296	1677379
33305	760629
10770	690645
34015	91675
17004	4041534
12090	1056547
4077	24052
32206	45401
15464	44409
12483	89093
16959	85651
21557	2739308
14586	13944
22256	98931
10883	105080
11134	81708
19504	181586
16360	1459803
7087	53114
68895	8941
23487	1963963
32608	1554620
6288	195317
14848	12720
44161	715081
24099	658433
17298	97705
22855	20274
10436	46661
10290	90178
10080	8962
22300	1791042
30975	173264
22320	1544915
17017	1318592
16829	380627
35936	30392
12992	3279
25182	57445
30909	143567
10816	642305
12654	423549
4990	941513
7121	49765
26151	Timeout
16363	53833
5368	10898
29882	174468
3810	27939
7664	672100
5577	17260
30770	1657394
8666	932143
12021	22101
8041	14032
32790	382262
33901	1289537
30344	1961349
10561	497477
15228	9702
47696	1894188
10190	5794
10435	646824
8108	32053
16671	1005958
23918	174081
16357	1027457
11838	95114
19361	Timeout
3830	630824
36840	1637904
26114	124605
39765	2695454
13558	959255
9471	67816
6041	34981
16014	Timeout
18371	40509
6012	6506
7446	35265
8174	1581507
31126	88778
22361	1299521
14058	68818
8520	3323
9640	40950
10910	17100
10476	24715
70395	1070229
18512	4121363
13760	87626
12115	1134861
20061	105723
11827	58336
6326	24467
11505	1619219
18143	42422
3672	38619
19792	738929
10477	114162
10842	561109
14071	26323
16482	4595409
9996	90661
12408	92651
42831	1168147
22550	1277559
11463	24996
23640	409586
38384	629593
18936	131544
12762	62131
10052	835580
8575	14296
23752	489271
16479	70224
27014	865023
32968	72562
16454	55650
7850	47475
30075	Timeout
24866	1235465
4953	1947038
9337	13361
16376	Timeout
11283	15747
11614	25134
8896	32589
9707	400505
17013	924556
16530	1486195
7872	14095
11978	2100670
31813	28098
33743	2126792
12842	40532
11009	1976055
10092	20219
10152	Timeout
49869	3998999
23464	42685
5371	55877
7717	2809979
7848	34892
18027	756670
10086	39565
6753	7298
13774	22453
7813	500093
22919	102897
6995	41333
15077	748410
14434	1713619
6744	35769
4640	32112
34019	87953
16650	930536
11857	1679301
7436	33464
6370	44946
32044	93695
6690	936618
7036	47749
31391	3042048
10369	18591
18415	1971321
10786	1547424
18936	653251
10626	40783
10942	758125
30071	1491176
11837	887663
35400	50137
6398	202843
10168	122251
13003	101516
24221	11157
8286	27582
18739	2224087
11513	36011
16334	2004840
8204	768800
13441	56787
24739	413807
22637	606226
12685	56138
11951	12860
35041	2209484
10530	4592142
13985	44455
23216	62977
29772	1191455
5068	68819
8959	43358
4450	44094
11435	3400
16711	1102344
9150	1117227
10041	87214
12219	17948
7163	68718
9318	22820
10513	1886761
38166	159205
8323	50409
7130	875000
16056	4153398
16895	3832468
9683	66493
7900	44674
16777	2524417
8811	25870
49590	155463
43746	77455
12004	40759
29851	857134
16739	4114102
31857	44778
17261	4129496
17449	25252
7396	17288
4946	20409
8607	28604
17435	847700
9553	1411461
9966	49659
14531	51480
24241	74363
24290	1300653
33881	Timeout
6309	2680625
19386	42385
32583	3791724
8771	1956894
16072	Timeout
5152	45970
5466	13901
10282	384457
24899	1589852
10023	14228
12017	12097
15864	613003
30461	66021
6256	73082
5562	1906534
7521	19976
6593	55928
8085	25910
5468	19341
10999	2198293
15923	51277
23740	Timeout
17527	722070
4488	95318
8423	17141
8988	666733
12568	1342048
66098	1016751
63478	1261452
10008	1228973
16310	136442
51154	73538
10573	45063
24307	1133547
23963	62392
15402	48208
23929	2085672
19121	41476
11334	1018879
33267	46989
15954	44400
37768	4056753
8150	9972
29102	634522
34617	120598
5824	60111
7041	62904
63544	57473
20605	11173
7647	17222
18815	1999995
12733	5824
33378	1176491
14156	91653
30275	70200
17606	33881
12746	53533
9048	1330120
15507	8978
22522	3246465
18290	51631
47551	976859
25222	1707484
37766	166467
12097	15037
39147	32879
7724	498858
23035	715042
10026	88575
38675	172129
34037	43220
22566	379809
11930	Timeout
47285	2375049
17450	83831
11553	397530
10229	56300
23534	82797
13817	196051
18121	23669
9970	22713
11542	693424
24352	184850
18995	101180
21474	150134
24010	1331569
16554	80044
10145	39851
4237	36137
8725	27153
38953	719779
13701	5875
8204	25141
70358	128860
17280	105467
10764	67653
31454	351813
23955	38377
9147	999724
50935	400289
10184	2220696
30391	57315
24572	4705129
7207	19286
9421	41141
12281	103469
18808	47174
8052	14861
8238	145023
24054	1007055
16087	99539
17316	88519
13159	84161
18491	29090
36204	35003
30492	85162
8769	14660
20662	100587
5862	765542
10033	26958
36362	84892
5578	11484
12171	Timeout
24731	78191
36021	11192
8928	43330
21446	34274
7331	11043
4947	18027
4704	272344
18349	78318
14860	29205
11441	1305855
6509	20570
5868	1331222
10971	49576
7118	13925
24543	2740889
31793	155479
62884	67476
35232	50279
7468	53743
15135	27579
40619	172365
16269	1097764
5542	96615
12879	621709
11100	51534
9249	42183
16323	57024
8022	96912
5627	4347
11477	18405
8869	32203
11994	80986
9057	65159
11433	113635
10348	104548
10629	130498
20111	474863
15608	1019396
10267	62026
16759	198383
35337	2478372
12273	38779
38950	363436
10196	480203
10617	20624
9950	90518
30351	116857
29734	Timeout
5521	24260
16065	73630
12181	27231
11274	Timeout
60922	4553780
38595	218231
11959	806293
9969	984909
43436	1957559
17296	912401
8669	1201368
47352	60752
19121	46978
40131	1457224
16763	1691658
10677	129347
32130	32827
8218	626371
31384	2493319
38570	111845
25361	1052409
18711	415221
24399	2873017
9970	Timeout
7822	1493347
13671	1502433
43530	2191944
12283	2387875
33173	3653110
16183	4226719
24331	3808836
44418	Timeout
