ASN_config_stairs_bfnd	ASN_config_stairs_find
7120	20949
2713	11275
6863	9006
9467	6029
5871	12808
14138	9436
3198	16156
1769	5102
21113	7628
22180	6614
4829	2041
6216	14876
14781	9725
8154	22570
18846	8406
5369	46041
9862	6070
2066	10736
8365	4078
12910	3067
9308	13149
14012	20665
16642	6042
6659	14444
10852	25322
7254	2361
6043	7465
11295	5702
6849	15865
3951	6406
11722	4085
8485	6066
10323	11706
13783	18782
3768	1984
10820	9877
8272	7212
8355	9099
7183	4714
19775	12039
6766	4060
4987	3136
10840	12922
12173	9444
12089	8495
5765	13480
5392	6373
5234	7167
7282	15449
8257	8759
10047	5025
9060	2911
3352	10634
10041	10253
7817	2958
23561	15591
7211	5875
16073	3768
9909	7520
7946	6333
7410	11227
8479	12110
12751	25220
9104	26024
7275	3244
9523	13893
19788	1072
21280	16440
6782	3758
13031	20623
27702	19537
17359	10653
8736	16059
7788	11928
12981	14809
8346	18765
15478	9858
12486	17324
20892	16474
14166	9826
3393	2047
5986	4613
6291	8292
8903	14616
5094	10281
13003	4109
12403	8438
6467	5380
7456	9269
5752	6274
12542	11960
8790	7711
6022	5731
34702	5762
8466	11017
6651	27025
8656	7642
3294	5143
4283	5006
10097	25364
17012	21193
8881	5548
12374	3243
8355	20313
7727	28833
6089	11393
7119	3354
9311	7931
11393	10859
9061	5109
4605	8856
4318	11220
20039	7394
10082	4169
9103	17151
11057	7044
5607	2382
28824	5297
17264	7994
9037	16269
12887	8544
5912	9182
11741	1896
12758	9826
8004	12268
7411	6941
3573	10081
27201	4638
10007	7751
8336	14457
8419	3701
8861	4725
11217	11520
9531	4078
6545	7991
11184	7222
22257	12292
5164	5593
15820	3236
8458	34236
10723	16818
11329	7921
23662	11114
4469	4156
10633	4223
3093	12107
7801	7040
5546	2561
14244	4846
4620	3095
6119	5739
7631	11232
11921	8349
13672	14992
21952	21153
4050	11397
5463	8167
6834	13904
14468	4081
15385	15279
11572	2103
15002	1624
5524	8194
11136	5460
5013	6593
4763	8116
10079	22686
3674	2766
8145	9297
8206	15311
6764	2201
4080	6213
4810	7877
8318	7224
11313	5484
8569	8074
7661	5798
6945	34120
18202	6264
13114	7303
6170	14257
10053	3062
7569	4890
27392	9775
15570	14636
15514	6182
6405	9611
14482	10815
9763	7095
5113	9879
19029	6944
5908	13304
12121	9032
10903	5091
4467	4570
8185	5957
13413	14151
15232	6067
4230	3161
7598	30750
7023	6447
8377	18893
10195	12094
4951	8450
13952	9041
3453	6298
2754	5314
1892	12700
24284	18272
5031	6722
8559	6649
5393	9030
7761	1541
11052	4917
10081	3243
9875	1746
2713	9869
10637	10627
9017	20606
5995	7708
22250	10554
5857	6024
20038	6507
19344	15095
9620	19798
6321	21413
5067	20871
76572	7059
7031	9640
8880	12985
8306	6972
11760	3408
3659	4973
15025	21303
5685	11675
14786	11513
6743	10816
13251	12294
6118	4536
11164	4290
10046	12497
4456	5752
11321	13660
10792	15003
8014	5709
4273	5370
10916	10680
7671	5706
6881	20214
15145	18254
34002	14356
4317	9267
2354	3705
13525	12370
5904	5033
7465	4758
5305	12738
13509	2164
10206	22862
4702	3851
9102	7181
5602	15352
11172	31663
13383	20989
6481	13818
8449	8520
15737	3202
13118	19567
14732	10375
12114	5731
4816	17901
4648	2138
4938	27021
5848	10347
3273	13120
11630	14645
4082	13046
12400	8475
3935	12988
15718	30998
7984	15294
6060	2685
6790	10726
5211	18771
9576	21433
7241	14453
6195	1975
4794	13927
5884	11780
14926	4395
15925	20872
7632	5547
5572	11859
3652	19786
4840	9305
10326	4639
7309	11705
11274	7075
7408	4507
5888	14532
4200	11680
6302	36557
12573	11422
7083	3768
3827	9955
6928	1950
3464	7641
7397	16919
10401	7138
20612	9088
13830	7475
18273	8880
3615	6368
1969	14636
16234	6725
9885	8283
8079	6944
15544	10497
12582	11606
14335	19709
1987	6688
2883	7466
8085	3185
7115	19987
12635	9579
14883	9572
9556	30988
11186	13033
3526	3449
7595	3355
12104	2585
10543	3364
11243	8561
4943	5673
12620	13049
10273	3346
8080	8042
5241	3620
17078	2795
2973	14218
12415	15761
10433	23305
8717	7479
17883	8210
14468	7022
6734	13784
10945	12770
4684	8647
4197	1506
5404	15325
4129	17657
10063	11429
5832	11500
6627	4050
4865	10777
12014	6185
5542	2841
3661	6796
4933	2829
3273	18480
10831	11614
8493	3034
13662	8600
7277	7477
16623	16189
6348	7299
7285	13308
15408	7450
7139	8046
33910	11060
13422	6589
5549	9108
10128	4264
26051	22831
9401	3569
5522	6139
1416	6013
16086	18812
4775	6369
16512	10628
10491	11773
7013	10754
12142	4322
4994	3067
5027	12582
6122	12595
14677	7909
5413	16184
6106	11993
4059	6590
7558	5951
9191	2949
17373	10602
8296	5593
7769	12031
12558	13023
5391	10375
4349	8819
8741	3751
23899	8074
13332	5160
19996	4265
6054	6333
4984	6765
11033	11011
5061	21613
12615	6324
16129	4251
6097	6551
18782	11512
4372	4402
5645	13537
29036	7822
5167	4731
8351	5197
7283	18893
3992	14080
6459	15136
8158	8960
11901	3309
37221	5618
17053	14621
3141	2636
12265	10530
3626	12275
14941	25209
9790	8819
5428	4856
22379	14912
2536	11162
12003	4484
8905	30539
5283	7888
16499	8165
7420	12367
12178	8351
6727	9838
22152	7051
10725	5497
15401	9349
17278	3792
8706	11077
8736	4470
8981	6676
9120	8179
6076	10627
7709	6322
4624	5959
16871	9058
12643	4011
17308	5039
8302	5610
10096	15129
15199	10141
6944	1873
7577	9391
15137	16359
12407	16425
8835	11259
9191	23957
20679	5407
4852	15620
6190	4217
11623	6609
13686	11113
2028	10074
7513	7291
14747	3146
12669	23374
9579	6514
5639	9088
17640	13890
9032	6357
4744	22629
6061	16613
9485	6667
3791	3908
9977	12844
7911	22475
31584	3142
6306	2967
7700	11877
8721	3208
11830	5355
4671	7770
4459	20903
17307	20186
6970	7933
9977	10197
4787	21577
8293	9184
12655	6151
5163	17833
21414	25342
8333	12584
7036	16816
10192	5354
5345	6858
7177	2835
6621	3043
4842	5064
11667	9632
9794	3308
5743	15177
16430	2701
4922	6476
10840	43890
22294	6113
3559	8388
5553	1072
2748	8952
10096	16773
16037	3738
10084	5590
5427	6480
8828	9080
10711	29453
5657	10586
8338	10380
8466	9592
9826	21364
4868	2388
9204	20123
11727	6400
6654	2767
9429	20830
12006	11088
5534	5518
15546	5619
6552	3615
4397	5644
11248	7756
14475	11910
6117	5476
6221	9182
5653	11416
16220	4052
23368	6298
11013	2812
12201	9618
4141	6380
8136	6748
4717	8516
14930	7386
5768	2826
13568	7461
8597	9411
3953	2815
12731	5568
3933	3202
12710	5811
7308	5647
10743	3069
11366	11777
4744	3723
19084	8702
19598	18613
5504	9109
10803	18723
13650	6756
16896	7966
4632	11148
6800	5019
6725	2541
5754	7762
8910	5627
15143	7154
10196	3906
7805	9865
12356	9454
7343	3775
7059	5539
13896	26320
11677	2888
12577	4835
4213	6342
4773	10400
16429	18155
4173	7808
5884	4509
17296	10411
12133	4701
7589	5178
7031	13643
12070	4465
6783	10407
2471	7843
14675	4365
2975	7324
5261	5915
12130	8962
10638	10886
12387	1440
11858	10993
8388	7214
11015	9966
9233	16992
14731	2884
6568	4794
9083	14466
10100	3003
8752	8806
5778	6677
7120	2021
7115	2757
5000	6358
6517	8381
18443	13178
4620	5619
6749	7593
8925	3809
12693	14776
8741	8460
10821	13771
7260	13164
10020	16265
14174	12834
8162	1863
2592	8208
5309	23590
6112	10614
8823	1182
8755	18909
11112	8131
4274	6722
11332	6666
7181	6940
11894	4401
8836	8521
14200	16739
8645	18180
2784	4955
26403	5075
15436	6230
10111	13236
13494	9962
13002	19558
5735	10645
17294	8077
10343	7621
9807	7073
11630	13798
4224	11928
17370	20340
9737	8755
15280	2903
9567	23418
16817	25713
6564	18216
8494	4124
8310	775
6626	6685
14339	2901
13948	14479
7084	7522
10488	9165
10203	5296
10070	6392
10768	754
12310	4559
7270	8177
6434	7919
8232	10277
3531	11698
7718	10091
7175	10165
12130	7069
5771	6206
3529	7268
8758	7760
4315	8342
10912	11567
10071	17858
7532	9143
24896	5168
7493	6126
7023	8786
8571	3220
23124	6187
7877	7479
3041	16357
7114	9412
22765	4532
10262	3194
10327	8512
9710	10572
5027	5354
9005	3583
7544	6328
4441	2953
15160	24862
8138	3918
12313	3138
9536	23008
14709	15042
11888	18038
12677	7344
12549	6626
7339	22734
8169	7991
6826	4965
5508	7938
12294	14712
9259	12653
16613	7681
15557	11208
7281	3475
18276	21630
9460	7529
15413	9131
4118	3675
3657	3329
10514	4946
11658	21838
9638	10481
8051	7970
14148	10009
13540	5155
7083	5914
13566	4974
8221	3313
6660	7230
10817	10905
5801	9488
5989	23381
9749	4423
8707	3618
11649	5337
6574	9340
11789	8864
3655	16794
9414	10253
4780	9183
16635	16272
10017	26948
16438	4908
9020	16476
6174	4675
4599	12016
10925	13416
9029	24245
8397	9519
14183	7604
7194	4839
7072	6545
11519	11500
7961	13893
5492	4635
13444	19311
12754	4232
6819	6149
12075	4104
12514	7534
13888	7880
7508	4612
5446	8064
6807	9060
7424	5773
9160	5932
7480	4121
11768	3858
8901	3757
10573	20953
8118	3615
9143	4484
11654	2504
11421	27769
6642	10240
5478	2633
13327	7293
13447	5271
5411	10991
17996	6195
4371	8301
11856	2539
5842	4596
8722	4594
4417	4262
10930	7032
11272	3812
9298	11995
3266	9129
13861	17294
6451	8215
6533	12586
12559	4488
4584	20541
4393	11952
6736	3736
3851	32020
10265	12183
6162	3664
8708	7917
12434	10512
8575	17509
8154	24079
16880	14502
4345	22777
2319	11986
3244	16649
21166	8144
5032	8068
11013	1926
6820	7757
15603	4945
9920	7709
12417	8618
9937	7507
42033	14148
