ASN_config_stairs_bfnd	ASN_config_stairs_find
11145	800
6269	8155
7449	459
10249	10736
4902	8770
13292	5320
6280	5583
6577	2799
10773	23058
3135	2002
2243	5126
5379	5651
6266	7656
13979	8037
3680	4540
4001	9613
7356	755
20594	8604
5853	6390
8348	10081
6835	15632
9773	18815
12511	4649
4983	9607
12958	5894
10596	2815
4510	5119
13744	1014
18431	14211
4477	1145
10243	5171
3565	2146
16389	5205
5209	3877
8698	4873
17402	7620
4445	7089
14202	26508
4751	7093
2187	2021
7056	5366
3606	2083
4198	2671
2628	6676
6199	12070
4462	4411
10414	4729
3755	5181
12154	929
5182	801
12839	1244
5350	19539
13042	3380
8154	1809
7594	6259
8027	5205
5061	4300
15731	16585
7052	7483
2152	6163
14399	3858
3059	5038
14759	1026
2786	4198
8675	2004
5772	1733
6526	2065
10975	19878
5287	3190
9473	5589
14026	4670
4588	7666
7774	1587
2773	8071
3153	5705
6798	5406
6519	3911
3753	1728
5408	13810
15784	3769
3156	16072
8599	4308
11742	17148
14966	6209
6466	4718
6812	5215
2543	739
4095	5487
7237	5288
7049	2259
10477	5935
11650	4712
3331	6769
10874	2043
6191	9592
16202	14942
3099	15943
1697	12227
5804	7862
3261	23127
5883	1952
11367	23022
11059	4332
2800	2742
1450	12500
5523	7479
3457	1994
8367	9491
5427	837
14977	5615
3586	1894
6532	7334
6503	556
8174	10581
4627	13340
12233	4640
14297	6300
3395	1278
1311	214
4805	1627
8817	5075
4173	13768
4628	3309
6268	6425
9168	9123
12290	5138
6513	23376
6943	1870
6439	1312
9783	5528
1621	2479
11674	464
11661	6275
11859	5264
9435	2305
3998	19052
11548	12897
4850	3177
2137	2210
9505	10288
9542	6467
12052	9123
4222	2841
2171	924
12809	4020
7642	4765
4219	9089
10709	7846
8542	727
15401	8439
9091	4320
2612	5340
11061	3866
11469	6112
3700	672
8828	9359
13568	4153
2977	10991
6105	2253
4136	2958
22166	4377
5591	2061
5569	2735
4944	5662
9448	8360
3979	6655
6191	1359
3246	3758
1933	22696
3390	6389
2626	7119
17949	9121
13566	8637
5689	5503
8943	9637
6755	6110
7730	7328
13528	1598
6445	3833
9468	15738
4844	5363
5636	4993
6120	1098
8397	2441
6691	12378
2835	9879
3804	5472
6780	1606
2946	2949
1934	3526
4485	4768
4993	13169
13052	1771
3607	559
2999	3014
21107	6223
12655	2984
6855	4739
4678	4903
13867	1835
7726	10450
2506	2129
12570	21433
15683	16529
6244	3060
9064	5442
6519	4842
6356	9188
9112	9133
15558	7827
5278	1145
12960	4830
4197	1175
3439	4188
5338	10927
4345	2437
9737	7367
8635	4340
11789	7204
12004	5525
